J134213.26+602142.9 0.9641 0.0016 0.9639 0.0019 7100 6190.18  1696.54 0.091
J134812.78+663935.5 0.9721 0.0011 0.9711 0.0012 2700 4218.66   296.66 0.166
J135559.88+260039.0 0.8511 0.0017 0.8511 0.0017 7100 4125.22   576.74 0.293
J135645.52+405952.0 0.8765 0.0015 0.8753 0.0017 4300 4228.36   766.89 0.132
J141044.87+010735.4 0.9557 0.0016 0.9553 0.0020 8000 6706.87  1602.35 0.128
J141737.36+215313.8 0.8983 0.0016 0.8996 0.0018 6400 3177.72   356.54 0.108
J142242.49+041439.1 0.9719 0.0015 0.9703 0.0016 8000 3624.40   359.11 0.217
J142749.36+532508.9 0.9087 0.0013 0.9094 0.0014 6400 3284.92   246.12 0.180
J143748.58+243906.3 1.0022 0.0013 1.0025 0.0014 6400 4176.07   690.74 0.172
J145103.23+114108.5 1.0671 0.0013 1.0669 0.0034 7100 9616.56   631.53 0.056
J145138.82+084740.8 1.0820 0.0015 1.0824 0.0025 8000 5419.88   820.52 0.166
J145659.27+503805.4 0.8193 0.0010 0.8211 0.0011 3100 4295.59   644.66 0.138
J145855.01+115654.7 1.1824 0.0012 1.1818 0.0013 7100 3073.13  1329.34 0.150
J150016.74+075852.0 1.0733 0.0012 1.0695 0.0122 1100 2678.44 16455.13 0.500
J150222.10+000933.1 1.0075 0.0014 1.0054 0.0017 7100 8117.89  1887.08 0.058
J150243.93+281739.9 1.1639 0.0013 1.1659 0.0016 5400 6228.04   214.43 0.117
J150940.68+571811.8 0.8167 0.0012 0.8169 0.0018 8000 6200.76  1342.02 0.062
J151230.31+593753.4 0.8620 0.0010 0.8623 0.0011 3700 2120.78   324.41 0.241
J151844.75+461855.1 0.8851 0.0010 0.8865 0.0016 7900 4289.62   713.51 0.075
J160325.52+521222.4 0.8125 0.0010 0.8140 0.0010 7300 7650.21   413.23 0.083
J160839.09+354226.5 1.0419 0.0016 1.0433 0.0017 3900 6459.37   453.89 0.192
J184044.99+404237.0 1.1414 0.0011 1.1418 0.0012 8000 5181.81   242.36 0.258
J210225.32-004841.8 0.9370 0.0014 0.9376 0.0016 5400 6113.47   268.90 0.138
