J111907.03+600430.7 52398  951 410 0.26404 0.00020 17.48 147.1  59.1 -411.4 40.0   74.5   16.8 267.3 30.9 243.4   17.6   57.4  12.4    75.5  13.7   38.2  30.1  197.8  34.9 1
J112203.57+530340.9 52707 1013 124 0.14186 0.00006 17.49 158.4  16.2 -122.8 16.2  124.8   21.4 129.9  7.7 141.0   10.4   12.6   2.7    26.2   4.9  238.1  24.0  219.2  19.3 1
J112329.87+092655.3 52763 1222  39 0.08188 0.00003 15.96 155.1   9.2 -129.3  6.6  127.4   10.2 111.2  4.0 116.2    6.3  118.5   9.6    88.2   9.4  463.8  21.0  290.0  18.9 1
J112559.38+192724.6 54169 2498 197 0.29993 0.00009 17.56 219.1  25.0 -230.9  3.9  -29.3   10.8  95.5  4.8 277.4    8.7   97.1   7.4   281.3  21.1   49.5   5.7  250.4  19.7 1
J113035.90+415830.4 53055 1443 467 0.05985 0.00003 16.33 178.9   7.2  -12.8 16.1  164.8    5.6 133.1 10.2  70.2    6.9  114.3  14.1    60.0  13.1  233.5  11.0   73.3   8.9 1
J113227.32+572850.0 52762 1309 504 0.06753 0.00002 15.76 198.0   6.0 -200.7 12.8   16.0   19.5  96.6 18.3 218.8   12.4   10.2   5.5   107.7   8.9   46.9  14.9  239.0  22.5 1
J113541.24+592748.3 52409  952 591 0.17424 0.00003 16.98 205.8   9.1 -124.0  7.2  131.8   13.1 134.7  4.2 127.3    7.0  445.5  26.9   168.8  23.4  169.4   5.9   90.9   7.1 1
J113634.50+152448.2 53386 1755 433 0.11116 0.00003 16.51 141.1   9.8 -154.0  5.9   66.8   11.7  93.7  9.7 207.3    9.1  111.7  24.9   529.1  48.9   39.2   5.8  275.7  12.6 1
J113925.69+101408.7 52765 1224 491 0.16171 0.00004 17.65 153.0  12.2 -157.8 12.6  106.2   18.3 118.0 10.4 156.1   15.7    3.0   1.3    59.7  12.8   80.3  29.3   63.7  12.0 1
J113952.79+540516.2 52707 1014  65 0.07457 0.00003 16.70 119.6   7.9  -62.8 11.9  150.5   14.7 109.3  5.8 112.2    7.0  185.7  27.7   196.8  26.5  341.3  19.3  243.7  14.7 1
J114056.88+091852.6 52760 1225 257 0.19210 0.00006 17.30 152.4  18.9 -117.8  9.3  100.1    9.3 113.0  5.4  96.9    4.9   83.5   8.4    83.3   9.5  361.7  17.9  231.5  13.7 1
J114132.99-030231.7 52282  328 179 0.12429 0.00002 16.84 112.8   5.9  -77.2  5.3  195.3   11.1 144.9  2.4 169.9    5.4  608.2  38.7   581.6  39.3  692.4  18.7  374.6  12.8 1
J114326.73-025306.3 52056  329 276 0.11575 0.00005 16.33 179.0  15.2 -176.4  4.7  136.5   11.0 111.1  3.8 152.4    8.9  392.1  23.4   249.1  26.9  236.6  11.3  150.8  11.0 1
J114329.51+680106.6 51955  492 441 0.21175 0.00003 17.07 136.4   9.2 -130.5  4.7   59.5    5.7  86.4  2.4  88.5    3.0   37.1   2.3    24.8   1.9  468.9  17.1  394.2  16.3 1
J114740.08+334720.5 53491 2097 515 0.03093 0.00001 14.33 152.1   2.6 -119.3  4.6  131.0    8.8 112.4  2.7 114.9    4.7 2951.1 124.1  1441.4 115.7 1055.5  31.3  547.4  30.3 1
J115341.58+525600.1 52370  882 347 0.17194 0.00004 17.44 137.4  10.5 -174.1  8.0   61.3   17.1  77.1  7.1 137.5   14.0    5.9   2.3    22.6   4.0   80.4  24.7  138.8  20.9 1
J115412.76+012151.0 52051  515 137 0.07732 0.00004 17.66  71.1  13.2 -314.9 26.2   21.6    3.1 234.0 16.8 157.0    2.6   44.3   6.2   101.4   6.5   26.4  23.1  384.8  18.0 1
J115714.14+031640.0 52017  516 344 0.07722 0.00002 15.67 149.3   6.4  -42.4  6.5  255.8    6.5 151.0  5.5 127.5    5.1  201.1  19.1   235.8  18.1  316.6  21.0   73.9  10.4 1
J115852.60+423413.2 53120 1447 599 0.03131 0.00002 13.87 187.0   5.4 -156.4  1.7  112.9   16.6 124.0  2.5 260.4   10.3 2419.8  96.1  1516.7 151.3 2561.1  73.6 2856.9 153.6 1
J120301.35+342260.0 53469 2099 623 0.16736 0.00003 17.40 111.9  10.7 -106.7  5.7  104.8    5.0 128.5  3.7 104.6    3.3  526.4  23.9   148.3  17.8  284.6  11.1  255.1  19.7 1
J121025.09+211051.6 54210 2644 124 0.11936 0.00002 16.98 135.4   6.8  -71.5 14.8  158.4   23.0 119.3  7.8 112.1   11.2  221.1  28.6   109.1  27.4   92.4   5.5   44.3   4.9 1
J121126.83-030902.3 52367  332 134 0.18537 0.00004 16.58 129.9  12.1 -226.4  9.0   71.8    8.6 114.6  7.4 191.5    6.3  216.2  37.5   904.8  52.0  105.3   8.1  408.4  14.8 1
J121318.45+591531.9 52405  954  78 0.09544 0.00003 16.92 129.4   8.0 -142.6 13.3   82.1   10.3 108.6  7.2 107.2    5.4   19.9   3.3    45.0   5.1  219.8  17.4  265.6  17.1 1
J121522.78+414621.0 53120 1450 141 0.19541 0.00006 17.57 128.5  17.1  -78.1  6.5  338.3   12.8 183.3  3.5 205.9    8.5  985.2  35.7   546.3  44.4  580.3  17.4  554.5  23.0 1
J121637.06-002240.0 52023  287  70 0.15710 0.00003 16.48 137.9   8.2 -292.2 16.1   43.6    3.5 122.2 12.4 142.3    3.2   76.4  12.1   394.1  14.2   34.2   4.7  292.1   7.5 1
