RA,Dec,RA_deg,Dec_deg
10:35:19.37,+7:52:58.0,158.83070833333332,7.882777777777778
10:35:5.53,+64:18:5.3,158.77304166666667,64.30147222222222
10:37:43.97,+4:2:33.8,159.4332083333333,4.042722222222222
10:37:48.37,+4:2:42.2,159.45154166666666,4.045055555555556
10:39:47.04,+1:44:41.8,159.946,1.7449444444444444
10:39:51.52,+1:46:25.2,159.96466666666666,1.7736666666666665
10:39:58.72,-1:29:50.0,159.99466666666666,-1.4972222222222222
10:40:0.67,-1:30:59.2,160.00279166666664,-1.5164444444444445
10:41:58.98,+40:42:15.0,160.49575,40.70416666666667
10:42:12.56,+40:41:22.8,160.5523333333333,40.68966666666666
10:44:14.0,+63:52:47.0,161.0583333333333,63.87972222222222
10:44:14.88,+63:53:59.0,161.06199999999998,63.89972222222222
10:47:18.18,+50:24:8.6,161.82575,50.402388888888886
10:47:22.17,+50:22:2.3,161.84237499999998,50.367305555555554
10:4:44.06,-2:32:40.3,151.18358333333333,-2.5445277777777777
10:4:45.67,-2:35:8.2,151.19029166666667,-2.585611111111111
10:52:20.12,+60:42:41.7,163.08383333333333,60.71158333333334
10:52:28.21,+60:42:10.0,163.11754166666665,60.70277777777778
10:55:44.86,+47:55:12.8,163.93691666666663,47.92022222222222
10:55:49.1,+47:57:35.9,163.9545833333333,47.95997222222223
10:56:44.89,-0:59:33.4,164.18704166666666,-0.9926111111111111
10:56:45.25,-0:59:38.1,164.18854166666665,-0.9939166666666666
10:5:13.76,+2:45:10.3,151.30733333333333,2.752861111111111
10:5:23.32,+2:45:36.1,151.34716666666668,2.7600277777777777
10:5:46.86,+3:1:16.3,151.44525,3.0211944444444443
10:5:52.25,+2:59:2.3,151.46770833333332,2.9839722222222225
11:13:44.85,-0:44:11.7,168.436875,-0.7365833333333333
11:13:55.66,-0:44:7.5,168.48191666666665,-0.7354166666666666
11:16:10.69,+41:18:14.4,169.04454166666665,41.303999999999995
11:16:11.74,+41:18:21.5,169.04891666666666,41.305972222222216
11:1:49.86,+5:50:33.6,165.45774999999998,5.842666666666666
11:1:51.37,+5:52:36.2,165.46404166666665,5.876722222222223
11:21:50.93,-2:31:15.6,170.4622083333333,-2.521
11:21:56.04,-2:29:54.3,170.48349999999996,-2.4984166666666665
11:22:48.83,+50:58:39.0,170.70345833333332,50.9775
11:22:54.12,+50:59:58.8,170.72549999999998,50.99966666666667
11:22:54.26,+62:30:27.6,170.72608333333332,62.507666666666665
11:23:10.96,+0:37:45.2,170.79566666666665,0.6292222222222222
11:23:17.05,+0:43:58.8,170.82104166666664,0.733
11:23:2.1,+62:32:6.7,170.75874999999996,62.53519444444444
11:23:24.71,+0:45:32.1,170.8529583333333,0.7589166666666667
11:23:36.59,+1:22:1.8,170.9024583333333,1.3671666666666666
11:23:44.24,+1:22:45.7,170.9343333333333,1.379361111111111
11:23:7.21,+0:37:45.7,170.78004166666662,0.6293611111111111
11:24:55.24,+57:10:57.0,171.23016666666666,57.1825
11:24:55.24,+57:10:57.0,171.23016666666666,57.1825
11:24:55.44,+57:10:58.4,171.23099999999997,57.18288888888889
11:24:55.44,+57:10:58.4,171.23099999999997,57.18288888888889
