FCG J084132.7-020318   08 41 32.040  -02 03 03.00   1.14    v  08 41 32.722 -02 03 18.73 100880                      nat/wat
FCG J084445.3+212932   08 44 45.196  +21 29 28.86   0.71    v  08 44 45.339 +21 29 32.48 104321                      wat dd?
FCG J084655.0-013142   08 46 54.573  -01 31 48.28   0.63    c? 08 46 55.083 -01 31 42.94 106645                      nat
FCG J084934.4+282150   08 49 33.855  +28 22 10.60   0.84    v  08 49 34.455 +28 21 50.97 109514                      wat
FCG J085052.9+134857   08 50 53.274  +13 49 16.11   1.02    c? 08 50 52.961 +13 48 57.23 110924                      nat
FCG J085105.3+085107   08 51 05.478  +08 51 18.87   1.41    c  08 51 05.314 +08 51 07.24 111111                      nat
FCG J085756.7+170445   08 57 56.707  +17 04 34.66   0.90    v  08 57 56.726 +17 04 45.10 118471                      nat ring?
FCG J085758.3+170333   08 57 59.241  +17 03 30.39   0.36    c  08 57 58.352 +17 03 33.27 118471                      nat ring?
FCG J085815.2+505303   08 58 15.260  +50 53 25.65   1.90    c  08 58 15.259 +50 53 03.39 118767                      nat
FCG J085828.7-010714   08 58 29.148  -01 07 18.89   0.56    c  08 58 28.717 -01 07 14.74 119082                      nat unu distorted low level
FCG J085845.1+171002   08 58 44.539  +17 10 00.10   0.66    c  08 58 45.100 +17 10 02.13 119399                      nat
FCG J090124.9+025916   09 01 23.984  +02 59 02.22   1.21    v  09 01 24.981 +02 59 16.36 122268                      nat int ring? tri
FCG J090225.8+204547   09 02 25.102  +20 45 28.15   1.42    c  09 02 25.827 +20 45 47.24 123351                      wat ring?
FCG J090305.5+450959   09 03 04.794  +45 09 53.66   0.56    v  09 03 05.553 +45 09 59.47 124105                      nat distorted
FCG J090616.5+441856   09 06 16.123  +44 19 03.86   0.21    v  09 06 16.564 +44 18 56.99 127678                      nat
FCG J091042.2+384125   09 10 42.029  +38 41 21.18   0.56    c  09 10 42.233 +38 41 25.60 132551                      wat
FCG J091118.8+073239   09 11 19.144  +07 32 34.02   0.76    c  09 11 18.890 +07 32 39.77 133221                      wat tri?
FCG J091204.2+094405   09 12 04.469  +09 44 11.93   0.74    c  09 12 04.232 +09 44 05.56 134091                      wat starwars?
FCG J091213.2+133847   09 12 13.360  +13 39 15.13   1.50    v? 09 12 13.258 +13 38 47.67 134286                      wat
FCG J091235.1+155958   09 12 35.405  +15 59 58.59   0.86    v  09 12 35.164 +15 59 58.87 134703                      wat w?
FCG J091243.7-044038   09 12 42.983  -04 40 29.65   0.49    v  09 12 43.784 -04 40 38.35 134858                      nat
FCG J091325.0+122739   09 13 25.193  +12 27 45.96   0.50    v  09 13 25.073 +12 27 39.91 135599                      wat
FCG J091332.5+182601   09 13 32.335  +18 26 03.60   0.31    c  09 13 32.505 +18 26 01.06 135717                      wat
FCG J091406.0+171556   09 14 06.097  +17 15 56.35   0.67    v  09 14 06.097 +17 15 56.35 136344                      mg this is for the wat sz+wat? butterfly int
FCG J091420.6+582253   09 14 21.557  +58 22 44.78   0.77    c  09 14 20.617 +58 22 53.47 136634                      wat tri?
FCG J091639.5+052552   09 16 39.143  +05 25 50.61   0.98    v  09 16 39.571 +05 25 52.98 139185                      wat
