FCG J135710.6+340737   13 57 10.698  +34 07 37.97   1.32                                 449341                      
FCG J140006.7+073659   14 00 06.732  +07 36 59.87   1.03                                 452637                      sz?
FCG J140217.5+610531   14 02 17.554  +61 05 31.09   0.99                                 455098                      
FCG J140409.5+562224   14 04 09.544  +56 22 24.89   0.98                                 457174                      sz?
FCG J140656.3+550402   14 06 56.349  +55 04 02.76   1.18                                 460202                      wat
FCG J140718.4+513204   14 07 18.442  +51 32 04.67   2.79                                 460552                      sz? x? ring-lobe? int
FCG J141057.9+374918   14 10 57.934  +37 49 18.01   0.73                                 464769                      sz
FCG J141250.5+230129   14 12 50.520  +23 01 29.20   0.77                                 466825                      sz dl
FCG J141314.3+074137   14 13 14.320  +07 41 37.84   0.79                                 467252                      
FCG J141755.3+250808   14 17 55.356  +25 08 08.31   1.98                                 472365                      sz?
FCG J142037.7+355248   14 20 37.725  +35 52 48.13   0.94                                 475398                      sz?
FCG J142141.2-074337   14 21 41.232  -07 43 37.19   0.63                                 476590                      wat
FCG J142321.0+244815   14 23 21.052  +24 48 15.31   1.05                                 478346                      sz? asym
FCG J142511.9-045644   14 25 11.972  -04 56 44.15   0.90                                 480374                      sz
FCG J142842.9+241054   14 28 42.970  +24 10 54.61   1.51                                 484264                      
FCG J143017.4+521730   14 30 17.437  +52 17 30.67   0.62                                 486058                      sz dl x? butterfly int, core id ambiguous
FCG J143103.4+053814   14 31 03.452  +05 38 14.07   1.38                                 486832                      
FCG J143149.1+192256   14 31 49.133  +19 22 56.50   0.62                                 487775                      sz
FCG J143224.4-050724   14 32 24.441  -05 07 24.56   1.38                                 488382                      sz?
FCG J143240.7+263451   14 32 40.753  +26 34 51.31   0.70                                 488729                      sz?
FCG J143243.5+443621   14 32 43.513  +44 36 21.42   1.16                                 488756                      sz?  wat?
FCG J143413.4+204614   14 34 13.404  +20 46 14.70   0.79                                 490401                      
FCG J143421.5+044140   14 34 21.543  +04 41 40.63   0.73                                 490574                      sz? dl?
FCG J143715.7+244542   14 37 15.707  +24 45 42.36   2.32                                 493744                      nat? sz?
FCG J143934.0+531442   14 39 34.067  +53 14 42.07   0.72                                 496404                      sz? wat??
FCG J143957.9+282419   14 39 57.957  +28 24 19.88   1.35                                 496872                      sz
FCG J144439.5+381718   14 44 39.586  +38 17 18.60   1.22                                 501966                      
FCG J144532.4-062611   14 45 32.407  -06 26 11.17   1.02                                 503027                      sz? dl
FCG J144636.8+004702   14 46 36.865  +00 47 02.55   0.78                                 504289                      sz?
FCG J144801.8+295434   14 48 01.855  +29 54 34.16   0.74                                 505822                      mg sz? dl? x irr
FCG J144848.7+035725   14 48 48.796  +03 57 25.13   1.48                                 506672                      sz?
FCG J144859.6+492341   14 48 59.669  +49 23 41.48   0.87                                 506857                      sz
FCG J145027.4-060733   14 50 27.453  -06 07 33.27   0.85                                 508565                      
FCG J145049.5+000125   14 50 49.541  +00 01 25.54   0.98                                 508980                      sz?
FCG J145055.1-031555   14 50 55.114  -03 15 55.92   0.84                                 509063                      sz
FCG J145305.6+210835   14 53 05.697  +21 08 35.48   1.27                                 511504                      sz? dl? wat?
FCG J145859.9+275401   14 58 59.929  +27 54 01.90   0.29                                 518112                      b arc?
FCG J145911.0+383637   14 59 11.015  +38 36 37.30   0.50                                 518317                      sz?
FCG J145936.6+165526   14 59 36.697  +16 55 26.30   1.43                                 518751                      sz
FCG J150003.8+132744   15 00 03.857  +13 27 44.53   1.91                                 519254                      nat? sz?  beautiful
FCG J150055.2+154240   15 00 55.268  +15 42 40.06   1.49                                 520204                      
FCG J150117.0+545517   15 01 17.088  +54 55 17.04   0.84                                 520648                      ring-lobe catalog missed lobe
FCG J150121.2+401211   15 01 21.277  +40 12 11.85   1.39                                 520706                      
FCG J150312.1+115434   15 03 12.193  +11 54 34.79   1.43                                 522852                      sz
FCG J151056.2+054441   15 10 56.220  +05 44 41.65   0.61                                 531415                      wat/nat sz? 1508+059
FCG J151109.3+565052   15 11 09.310  +56 50 52.05   0.74                                 531644                      sz dl
FCG J151126.1+363335   15 11 26.128  +36 33 35.12   1.05                                 531936                      sz w?
FCG J152105.9+521438   15 21 05.941  +52 14 38.83   1.04                                 542536                      sz?
FCG J152510.4+125308   15 25 10.416  +12 53 08.46   1.76                                 547071                      int core id ambiguous
FCG J152736.9+182238   15 27 36.971  +18 22 38.28   1.43                                 549770                      sz? wat? catalog missed apparent core
FCG J153008.2+231617   15 30 08.259  +23 16 17.92   1.68                                 552468                      nat? catalog missed jet? core id ambiguous
FCG J153058.2-070331   15 30 58.204  -07 03 31.72   1.46                                 553485                      sz? dl
FCG J153440.0+055613   15 34 40.053  +05 56 13.87   0.75                                 557533                      sz
FCG J153841.3-024206   15 38 41.304  -02 42 06.24   1.32                                 562013                      sz?
FCG J154013.9+312123   15 40 13.996  +31 21 23.48   0.61                                 563655                      sz?
