FCG J014001.7-101206   01 39 59.890  -10 12 13.15   1.09       01 40 01.763 -10 12 06.82 012331                      with resolved jet?
FCG J123245.2+332642   12 32 44.866  +33 26 35.00   0.50       12 32 45.297 +33 26 42.76 356422                      mg nat?? int
FCG J123529.1+531446   12 35 28.553  +53 14 51.04   0.35       12 35 29.198 +53 14 46.36 359440                     
FCG J123723.5+170940   12 37 23.591  +17 09 45.05   0.30       12 37 23.516 +17 09 40.00 361488                     
FCG J125033.8-042646   12 50 33.947  -04 26 47.75   0.18       12 50 33.885 -04 26 46.42 375849                      rc
FCG J125431.9+613455   12 54 31.510  +61 35 00.81   0.26       12 54 31.962 +61 34 55.70 380160                      dl
FCG J125837.8+255006   12 58 35.986  +25 49 50.81   1.07       12 58 37.862 +25 50 06.20 384677                     
FCG J130305.7+504135   13 03 05.905  +50 41 34.06   0.31       13 03 05.784 +50 41 35.44 389609                      both sides rc third entry tail
FCG J130559.2+182404   13 05 59.324  +18 23 53.91   0.35       13 05 59.222 +18 24 04.38 392793                     
FCG J130833.5+192722   13 08 34.075  +19 27 08.55   0.49       13 08 33.544 +19 27 22.06 395784                     
FCG J131419.2-050239   13 14 19.578  -05 02 42.28   0.30       13 14 19.294 -05 02 39.69 402111                     
FCG J132558.9+411500   13 25 59.365  +41 15 05.01   0.27       13 25 58.947 +41 15 00.45 414976                     
FCG J132606.3+025126   13 26 06.422  +02 51 25.54   0.17       13 26 06.392 +02 51 26.72 415091                      mg
FCG J133203.8+024702   13 32 03.742  +02 47 09.76   0.36       13 32 03.803 +02 47 02.44 421532                     
FCG J134452.1-040945   13 44 52.185  -04 09 42.13   0.25       13 44 52.180 -04 09 45.34 435729                     
FCG J135759.7+365036   13 58 00.090  +36 50 33.82   0.17       13 57 59.719 +36 50 36.39 450243                     
FCG J141732.8+523816   14 17 32.893  +52 38 19.91   0.25       14 17 32.832 +52 38 16.21 471943                     
FCG J142056.1+052908   14 20 56.938  +05 29 03.31   0.40       14 20 56.197 +05 29 08.48 475765                      mg irr?
FCG J142158.2+445847   14 21 58.593  +44 58 45.54   0.24       14 21 58.203 +44 58 47.50 476872                     
FCG J150803.4+103640   15 08 03.710  +10 36 34.16   0.35       15 08 03.407 +10 36 40.07 528235                      double on one side mg tri unu
FCG J151345.5+332157   15 13 45.828  +33 21 47.35   0.33       15 13 45.560 +33 21 57.90 534473                      may be larger
FCG J151740.3+213127   15 17 40.808  +21 31 21.56   0.32       15 17 40.326 +21 31 27.41 538832                      rc
FCG J151744.8-023808   15 17 44.197  -02 38 23.01   0.54       15 17 44.880 -02 38 08.65 538890                     
FCG J152119.3+023102   15 21 20.844  +02 31 07.01   0.94       15 21 19.388 +02 31 02.61 542840                      nat/wat? rc interacting?
FCG J155322.0+061316   15 53 21.805  +06 13 20.79   0.34       15 53 22.036 +06 13 16.04 577593                     
FCG J155332.5+112937   15 53 32.067  +11 29 44.68   0.34       15 53 32.580 +11 29 37.35 577815                     
FCG J160509.8+112243   16 05 09.290  +11 22 54.19   0.60       16 05 09.803 +11 22 43.80 589659                     
FCG J161920.0+553603   16 19 19.419  +55 35 50.62   0.50       16 19 20.008 +55 36 03.63 603153                     
FCG J163142.7+252200   16 31 43.261  +25 21 51.01   0.42       16 31 42.765 +25 22 00.89 614160                     
FCG J163914.5+204416   16 39 14.274  +20 44 10.06   0.35       16 39 14.526 +20 44 16.92 620608                     
FCG J164424.4+264005   16 44 25.167  +26 40 09.95   0.35       16 44 24.457 +26 40 05.99 624714                     
FCG J165543.2+344609   16 55 43.890  +34 45 57.15   0.41       16 55 43.283 +34 46 09.89 633087                     
FCG J170112.3+353353   17 01 11.747  +35 33 43.73   0.55       17 01 12.373 +35 33 53.29 636844                      sz?
