index,SDSS1,Plate1,Fiber1,MJD1,z1,sep1,rp1,dV1,rmag1,FAGN1,FTid1,RA1,Dec1,GroupID,GroupNum1,ComponentID1,SDSS2,Plate2,Fiber2,MJD2,z2,sep2,rp2,dV2,rmag2,FAGN2,FTid2,RA2,Dec2,GroupNum2,ComponentID2,Sep,Sep(kpc),ratio,dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),rat
23,J005141.33+010127.2,692,379,52201,0.0666,28.0,36.1,182,15.01,1,2,00:51:41.33,+01:01:27.2,362,2,1,J005142.87+010143.1,394,445,51913,0.0672,28.0,36.1,182,15.82,1,2,00:51:42.87,+01:01:43.1,2,2,28.04012776705071,35.80182251708399,1.22002971545177,-168.1507037354864,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.2768066827125468
24,J005214.82+003456.4,1084,510,52591,0.1156,2.9,6.0,158,19.18,2,2,00:52:14.82,+00:34:56.4,19,2,1,J005214.90+003458.9,394,489,51913,0.115,2.9,6.0,158,16.21,2,2,00:52:14.90,+00:34:58.9,2,2,2.7730580730413186,5.80776659489069,1.22002971545177,160.85357035755314,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.09435447867166
25,J005619.38+135326.2,420,41,51871,0.0386,104.5,80.0,345,16.72,2,0,00:56:19.38,+13:53:26.2,1069,2,1,J005620.79+135143.8,420,53,51871,0.0398,104.5,80.0,345,14.57,1,0,00:56:20.79,+13:51:43.8,2,2,104.4382766608261,79.88725791872062,1.22002971545177,-345.26547381933045,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.7649231725468105
26,J005639.15+000701.0,692,595,52201,0.071,61.0,82.9,75,15.73,2,0,00:56:39.15,+00:07:01.0,727,2,1,J005643.20+000707.1,394,635,51913,0.0713,61.0,82.9,75,16.55,2,0,00:56:43.20,+00:07:07.1,2,2,61.0553593182709,82.67932412837793,1.22002971545177,-83.74177121872978,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.3541698067385874
27,J005920.65+002927.4,395,506,51783,0.0625,26.0,31.3,213,16.43,1,0,00:59:20.65,+00:29:27.4,342,2,1,J005922.26+002917.6,693,430,52254,0.0633,26.0,31.3,213,15.05,1,0,00:59:22.26,+00:29:17.6,2,2,26.06184792638565,31.378015968699852,1.22002971545177,-225.0446571866256,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.2039827742579983
28,J010121.58+002305.4,396,386,51816,0.0925,45.8,78.9,318,16.58,2,0,01:01:21.58,+00:23:05.4,551,2,1,J010124.56+002254.8,693,485,52254,0.0937,45.8,78.9,318,16.81,1,0,01:01:24.56,+00:22:54.8,2,2,45.938660730944946,79.04912726040665,1.22002971545177,-328.24068419880564,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.720753848776397
29,J010125.46+000027.6,693,499,52254,0.11,39.4,77.8,496,14.7,5,0,01:01:25.46,+00:00:27.6,476,2,1,J010127.81+000045.3,395,599,51783,0.1082,39.4,77.8,496,16.75,1,0,01:01:27.81,+00:00:45.3,2,2,39.444295664077444,79.11130841605642,1.22002971545177,485.2579980213422,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.0056463700048868
30,J010621.81+143455.8,421,24,51821,0.0396,70.2,55.0,208,15.93,2,0,01:06:21.81,+14:34:55.8,860,2,1,J010625.69+143416.7,421,32,51821,0.0404,70.2,55.0,208,14.34,2,0,01:06:25.69,+14:34:16.7,2,2,68.56747592175219,53.74347737539655,1.22002971545177,-229.99996597632088,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.783804225734188
31,J010623.75-001010.4,396,77,51816,0.0485,88.9,84.5,153,17.51,2,0,01:06:23.75,-00:10:10.4,1003,2,1,J010623.93-000841.5,396,560,51816,0.048,88.9,84.5,153,14.73,1,0,01:06:23.93,-00:08:41.5,2,2,88.94099136508908,84.48119221963283,1.22002971545177,142.61864201916268,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.9498566512807413
32,J010829.53+142628.0,422,199,51811,0.0605,62.4,73.1,51,15.66,1,0,01:08:29.53,+14:26:28.0,746,2,1,J010833.69+142625.8,422,166,51811,0.0607,62.4,73.1,51,15.9,1,0,01:08:33.69,+14:26:25.8,2,2,60.46855600363009,70.63930419130328,1.22002971545177,-56.383178831193206,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.1681989592584716
