SDSSName,RA,Dec,z,Type,Imager,Exptime(s),UTobserved(yymmdd),Seeing(as),Reference
160436.21+500958.1,16:04:36.21,+50:09:58.1,0.146,367,2,NIRC2/Kp,320,2010-Jun-04,0.3,W;L
160631.37+273643.0,16:06:31.37,+27:36:43.0,0.158,319,2,NIRC2/Kp,128,2010-Jun-04,0.4,L
160659.57+083514.6,16:06:59.57,+08:35:14.6,0.187,380,2,NIRC2/H,630,2012-May-20,0.6,S
161826.93+081950.7,16:18:26.93,+08:19:50.7,0.446,340,1,NIRC2/Kp,160,2010-Jun-03,0.6,S
161847.93+215925.4,16:18:47.93,+21:59:25.4,0.334,320,1,NIRC2/Kp,160,2010-Jun-03,0.6,S
162345.20+080851.1,16:23:45.20,+08:08:51.1,0.199,470,2,NIRC2/H,540,2012-May-20,0.6,S;L
162939.58+240856.0,16:29:39.58,+24:08:56.0,0.059,257,2,NIRC2/H,630,2012-May-20,0.6,W
163056.75+164957.2,16:30:56.75,+16:49:57.2,0.034,295,2,NIRC2/Kp,192,2010-Jun-04,0.5,L
163316.03+262716.3,16:33:16.03,+26:27:16.3,0.071,312,2,NIRC2/Kp,320,2010-Jun-03,0.6,W
163316.03+262716.3,16:33:16.03,+26:27:16.3,0.071,312,2,NIRC2/H,1050,2010-Aug-31,0.6,W
171544.02+600835.4,17:15:44.02,+60:08:35.4,0.157,350,2,NIRC2/Kp,320,2010-Jun-03,0.6,S;L
171930.56+293412.8,17:19:30.56,+29:34:12.8,0.180,1000,1,NIRC2/Kp,160,2010-Jun-03,0.6,S
210449.13-000919.1,21:04:49.13,-00:09:19.1,0.135,380,2,NIRC2/H,660,2012-May-19,0.5,S
230442.82-093345.3,23:04:42.82,-09:33:45.3,0.032,319,2,NIRC2/Kp,320,2010-Jun-03,0.7,W;L
231051.95-090011.9,23:10:51.95,-09:00:11.9,0.094,327,2,ACS/F606W,720,2005-Aug-19,L,W;L
233313.17+004911.8,23:33:13.17,+00:49:11.8,0.170,444,2,NIRC2/Kp,384,2010-Jun-03,0.7,L
235256.62+001155.2,23:52:56.62,+00:11:55.2,0.167,310,2,NIRC2/Kp,384,2010-Jun-04,0.5,L
