SDSS J140842.42+043050.9 Gemini/GMOS-S(1x2) 2100      Hb,OIII,Ha,NII 2010 February 27                                            55.0 145.0 180       J1408+0430
SDSS J140845.73+353218.5 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 38.8 128.8 900       J1408+3532
SDSS J145951.31+230708.6 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 18.7 108.7 900       J1459+2307
SDSS J151656.59+183021.5 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 March 30                                               70.0 160.0           J1516+1830
SDSS J151709.21+335324.7 Lick/Kast          2200      Hb,OIII        2009 August 18                                              13.0 103.3 2700      J1517+3353
SDSS J151842.95+244026.0 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 March 27                                                0.0 109.0           J1518+2440
SDSS J152431.41+323750.6 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 May 23 / 2010 June 2 / 2010 June 21                     5.0  95.0 72        J1524+3237
SDSS J153944.13+343503.9 Gemini/GMOS-N(1x2) 2100      Hb,OIII        2010 April 25 / 2010 April 4                                50.0 140.0 3600      J1539+3435
SDSS J154107.81+203608.8 Gemini/GMOS-N(1x1) 2100      Hb,OIII        2010 September 7 / 2010 September 4                         57.0 147.0 300       J1541+2036
SDSS J155645.97+241828.5 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                  9.3  99.3 900       J1556+2418
SDSS J160436.21+500958.1 Lick/Kast          2200      Hb,OIII        2009 August 17                                               2.9  95.1 2700/3600 J1604+5009
SDSS J160631.37+273643.0 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 70.8 160.8 900       J1606+2736
SDSS J161027.41+130806.8 Gemini/GMOS-N(1x1) 2100      Hb,OIII,Ha,NII 2010 September 10 / 2010 September 8                        18.0 108.0           J1610+1308
SDSS J161847.93+215925.4 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 56.1 146.1 900       J1618+2159
SDSS J162345.20+080851.1 MMT/Blue Channel   3800      Hb,OIII        2010 June 6                                                 46.4 136.4 900       J1623+0808
SDSS J163732.37+352321.2 Lick/Kast          2200      Hb,OIII        2010 July 17 / 2010 July 18                                 22.7 112.4 2400/3600 J1637+3523
SDSS J164713.43+383139.9 Keck/DEIMOS        2600      Hb,OIII,Ha,NII 2010 April 18                                               84.2 174.2           J1647+3831
SDSS J171544.05+600835.7 Lick/Kast          2200      Hb,OIII        2009 August 18                                              32.9 120.7 3600      J1715+6008
SDSS J210449.13-000919.1 MMT/Blue Channel   3800      Hb,OIII        2010 November 6                                             10.2 100.2 1080      J2104-0009
SDSS J225252.94+002928.4 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             88.1 178.1 1260      J2252+0029
SDSS J225510.12-081234.4 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                              0.4  90.4 1260/900  J2255-0812
SDSS J233313.17+004911.8 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             24.7 114.7 1260      J2333+0049
SDSS J235256.62+001155.2 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             86.0 167.0 900/1080  J2352+0011
