NDWFS J142937.96+330710.0 0.2166  -49.8  37.7  -16.3  23.6  -32.3  15.7  2.35 0.41 0.65 0.07  0.16 0.24 0.15 0.18
NDWFS J142938.07+343902.6 0.3071   -3.0  36.6  -71.2  17.6  -56.2  23.7  4.03 0.90 0.68 0.13  0.59 0.32 0.30 0.21
NDWFS J142939.69+335336.8 0.1297  -26.0  21.8  -42.4  12.6  -23.8  14.2 11.24 0.71 1.31 0.09  0.42 0.12 0.20 0.09
NDWFS J142948.94+344854.0 0.0944  -39.5  16.9  -15.8  13.0  -35.7  10.3  2.88 0.26 0.66 0.03  0.55 0.17 0.10 0.08
NDWFS J142950.92+331854.7 0.1315   -9.1  20.2  -25.6  22.4  -40.3  10.3  1.08 0.14 1.16 0.03  0.53 0.13 0.13 0.09
NDWFS J142951.38+325036.6 0.2704   34.3  29.2    8.0  20.9  -15.3  20.4  3.38 0.38 0.87 0.10  0.76 0.36 0.23 0.31
NDWFS J142957.11+353054.7 0.2634  -63.3 107.1   40.9  15.4  -78.1  62.7  2.90 0.42 0.58 0.10  0.27 0.15 0.07 0.44
NDWFS J142959.37+342241.6 0.2652   16.6  40.5  -14.6  56.8   -0.3  21.1  1.87 0.33 1.94 0.17  1.13 0.44 0.41 0.26
NDWFS J143000.82+352018.7 0.1276   15.7  44.0  -25.7  20.6   38.9  16.1  7.54 1.93 0.78 0.08  0.41 0.26 0.27 0.21
NDWFS J143003.15+340651.3 0.1255  -44.6  19.6  -27.2  19.0  -40.8  18.4  3.56 0.20 1.03 0.05  0.75 0.08 0.23 0.04
NDWFS J143012.74+343201.5 0.2443  -81.2  32.7  -42.0  18.3  -35.5  17.7  2.02 0.26 0.65 0.05  0.57 0.36 0.09 0.15
NDWFS J143012.96+331842.8 0.3213  -37.2  19.5  -54.4  15.2  -93.6  26.2  6.52 0.70 0.61 0.13  1.07 0.23 0.01 0.03
NDWFS J143019.83+334047.2 0.2313   40.9  56.7   73.7  79.0   66.3  18.1  4.39 1.59 1.61 0.15  0.49 0.17 0.37 0.20
NDWFS J143025.02+325358.1 0.2695   -8.6  31.9   36.5  21.0    3.9  25.7  5.60 0.73 1.12 0.15  0.58 0.22 0.35 0.70
NDWFS J143035.05+330813.0 0.3207 -167.7  95.9    1.0  19.4  -72.4  92.7  1.28 0.25 0.85 0.16  0.87 1.74 0.01 0.02
NDWFS J143039.08+341802.4 0.1891  -24.3  20.5 -206.2  19.1  -49.6  16.0  3.52 0.25 0.54 0.03  0.32 0.06 0.07 0.05
NDWFS J143044.06+335224.5 0.2297  190.2  46.2  227.1  37.5  226.5  37.3  1.86 0.12 0.75 0.03  0.56 0.08 0.16 0.06 LINER
