143335.68+350133.1 0.6198 1645 474 53172  -578 159  -611
143537.29+415359.8 0.5792 1396 227 53112   247  61   414
143612.41+283355.2 0.3459 2137 378 54206  -288  59  -236
143736.40+615509.8 0.5536 0607 581 52368  -467  30  -226
143943.25+281548.8 0.3864 2137 501 54206  -370  74  -258
144442.86+415001.6 0.4745 1397 327 53119  -338  87  -440
144645.45+625304.0 0.3511 0609 428 52339   375  98   397
144818.02+455916.2 0.8193 1675 106 53466  -903 145  -892
144921.45+041652.9 0.4493 0587 624 52026  -335  70  -217
145004.93+310210.0 0.4579 1843 399 53816  -345  60  -193
145022.73+102555.4 0.7892 1713 500 53827   780 187  1462
145031.36+232114.1 0.3348 2144 492 53770  -407  31  -110
145104.67+045327.9 0.6197 0588 366 52045   617 181   591
145150.29+115347.4 0.4277 1714 499 53521   196  58   202
145215.59+430448.7 0.2961 1290 390 52734   572 175   556
145359.72+091543.3 0.2789 1713 019 53827   767 214   808
145433.44+611702.3 0.2814 0611 341 52055  -174  30  -299
145535.46+185900.5 0.7335 2778 414 54539   587 121  1763
145546.63+361414.7 0.5196 1384 330 53121  1236 209  1339
145612.04+380425.3 0.5320 1351 493 52790   541 115   573
145818.78+151057.9 0.5872 2764 053 54535   200  64   363
145824.46+363119.5 0.2470 1351 088 52790  -339  30  -333
145940.14+361010.0 0.4781 1384 441 53121  -909 179  -757
145958.43+333701.7 0.6445 1647 628 53531   536 152  1160
150213.46+113830.0 0.3988 1716 532 53827  -275  30  -313
150431.29+474151.2 0.8235 1049 541 52751   594 110   599
150528.11+585120.5 0.4431 0610 554 52056  -738 150  -601
150924.97+411312.0 0.3435 1292 343 52736  -197  32  -114
151008.27+250902.1 0.3475 2155 379 53820  -389  60  -306
151131.33+502218.9 0.2199 1165 202 52703   917  68   783
151237.05+012844.8 0.2664 0540 068 51996  -560 124  -551
151351.50+262358.1 0.2029 2157 195 54242   724  42   551
151352.56+493430.2 0.4086 1330 441 52822  -229  60  -362
151832.85+515456.7 0.3715 1165 624 52703  -335  33  -320
151847.70+061259.0 0.4993 1833 629 54561   332  39   342
151923.68+232238.0 0.3133 2158 465 54209  -209  48  -184
151926.68+433915.2 0.5483 1678 420 53433   315  90   604
151940.87+320157.9 0.3016 1386 082 53116   221  33   359
152005.89-003803.5 0.3966 0924 369 52409   279  61   294
152104.49+151430.6 0.6475 2781 299 54266  1059 320  1081
152123.23+092634.3 0.3206 1721 373 53857  -263  45  -144
152504.63+464006.2 0.2963 1331 081 52766  -233  59  -196
152745.61+215725.7 0.4310 2161 107 53878  -415  60  -904
152753.80+061018.9 0.1743 1819 140 54540   100  30   290
152809.55-000044.9 0.6057 0313 066 51673  -222  60  -193
153533.21+065832.9 0.2978 1820 504 54208  -513  59  -267
153641.66+543505.5 0.4471 0616 442 52374   737 109   950
