132 J085317.02+183244.4 53711 2281 497 0.085510 16.59 -185.2 40.50 type I asym-NEL AGN
133 J085809.53+030800.2 52225  565 560 0.071240 16.09 -264.5 40.72 type I asym-NEL AGN
134 J090108.66+555400.7 51942  483  72 0.180300 17.46 -142.1 41.11 type I asym-NEL AGN
135 J090722.47+001836.0 51929  470 552 0.163540 17.88  187.1 41.33 type I asym-NEL AGN
136 J090852.69+061912.1 52703 1194 284 0.182440 17.68 -130.2 41.12 type I asym-NEL AGN
137 J091605.16+002030.4 51955  472 520 0.143470 17.40  -64.4 40.60 type I asym-NEL AGN
138 J091733.30+074153.8 52976 1301   8 0.127460 17.17 -120.6 41.00 type I asym-NEL AGN
139 J092032.70+525406.4 51999  553 601 0.212050 17.67 -386.2 41.36 type I asym-NEL AGN
140 J092414.71+030900.8 52254  568 184 0.127890 16.22  134.1 41.14 type I asym-NEL AGN
141 J092628.86+031411.9 52254  568 167 0.115870 16.60 -680.2 40.35 type I asym-NEL AGN
142 J094539.31+515539.6 52409  902 376 0.194520 16.99  -14.0 41.09 type I asym-NEL AGN
143 J095214.97+011229.6 51608  267 521 0.099390 17.09  -72.9 40.50 type I asym-NEL AGN
144 J095335.10+325121.7 53433 1949 331 0.159160 17.33 -157.7 41.40 type I asym-NEL AGN
145 J095650.42+330029.5 53433 1949 378 0.149800 17.02 -120.4 40.56 type I asym-NEL AGN
146 J100220.87+402749.1 53033 1356 415 0.152830 16.40  180.8 41.60 type I asym-NEL AGN
147 J100306.72+150140.2 54169 2586 364 0.078470 15.68 -325.8 40.30 type I asym-NEL AGN
148 J100313.62+485107.6 52708 1006  95 0.121910 17.60  -64.3 40.82 type I asym-NEL AGN
149 J100318.64+293806.5 53436 1950  93 0.128430 17.79 -303.2 41.01 type I asym-NEL AGN
150 J100430.92+201135.8 53737 2364 204 0.160090 17.60  -14.1 41.00 type I asym-NEL AGN
151 J101307.29+485952.8 52674  873 329 0.222280 17.50  -70.3 41.48 type I asym-NEL AGN
152 J101508.89+563709.6 52407  946 496 0.123880 16.20  150.6 40.72 type I asym-NEL AGN
153 J103729.56+445142.1 52992 1431 469 0.122330 16.82  -50.5 40.87 type I asym-NEL AGN
