  1 J090012.70+183439.2 53729 2283 160 0.08118 16.97 J090012.30+183436.8 53700 2285 316 0.08040 17.17 normal galaxy
122 J001139.98-002826.1 52519  686  64 0.05828 14.80 J001139.74-002827.8 52913 1089 205 0.05704 14.79 pp-galaxy
123 J005214.90+003458.9 51876  394 489 0.11530 16.21 J005214.82+003456.4 52591 1084 510 0.11559 19.18 normal galaxy
124 J012234.50-100836.9 52163  661 183 0.10691 16.84
125 J012359.05+144909.1 51893  424 546 0.15624 16.82
126 J021900.47-090234.4 52162  668 154 0.11097 16.19
127 J023902.69-003150.3 52199  706 185 0.13640 17.07 J023902.86-003151.4 51821  408 175 0.13600 18.52 normal galaxy
128 J031800.44-001755.3 53002 1565 197 0.24266 18.35
129 J080151.85+513349.8 53090 1780 342 0.06902 16.82 J080151.76+513352.6 53383 1870  81 0.06823 17.24 normal galaxy
130 J081810.81+041953.7 52641 1184 373 0.21062 18.75
131 J102227.25+285623.3 53772 2351 178 0.08933 15.63
132 J104536.42+465651.0 52620  962  73 0.14414 17.06
133 J113748.55+393911.5 53466 1972 152 0.19227 18.41
134 J114436.65+311114.1 53473 2008  65 0.16025 17.14
135 J115319.93+525553.2 52370  882 344 0.05199 15.51 J115320.40+525553.1 52368  881 485 0.05266 15.59 normal galaxy
136 J120423.85+275616.6 53819 2226 552 0.13715 17.07
137 J120540.44+513431.7 52370  882  49 0.09168 16.24
138 J122908.33+083356.3 53473 1627 417 0.08767 16.44
139 J123716.65-034319.8 52000  335 123 0.13644 16.25
140 J124849.54+053212.3 52426  847 507 0.07650 15.46
141 J131228.67+112315.7 53142 1697 262 0.11278 16.89
142 J134811.35+312927.8 53503 2024  90 0.16914 17.46
143 J141331.13+084307.3 53794 1810 414 0.07995 17.02
144 J142542.59-004754.2 51613  305 120 0.10379 17.54
145 J144045.30+461130.6 53464 1674  54 0.08557 16.14
146 J144240.83+282837.8 54206 2137 617 0.09214 16.94
147 J150750.76+035253.0 52055  589 634 0.24148 17.27
148 J150912.78+475009.1 52751 1049 608 0.16926 17.27
149 J154403.67+044610.1 54567 1836 586 0.04169 14.21 J154403.45+044607.5 54559 2950 278 0.04195 17.82 normal galaxy
150 J155421.21+281837.7 53142 1390   9 0.07783 16.13 J155420.93+281832.9 52817 1391 427 0.07894 15.47 normal galaxy
151 J155718.25+360437.4 53173 1682 309 0.17390 17.70
152 J160947.04+122240.1 54569 2527 242 0.06899 16.66 J160947.29+122242.3 54569 2525 565 0.06992 17.44 normal galaxy
153 J164325.82+421609.0 52083  628 115 0.07969 17.12
154 J165828.48+402148.4 52079  633 409 0.14543 17.13
155 J170425.90+391138.7 52079  633  80 0.06283 15.32
156 J171002.19+234536.0 53462 1688 545 0.14229 17.69
157 J210835.06-080054.7 52081  638 207 0.12221 16.55
158 J030226.16+000624.1 51873  411 200 0.08752 17.14
159 J031428.03-073251.1 51924  459 154 0.22749 17.71
160 J072938.78+453315.9 53314 1866 358 0.09260 16.09
161 J075046.88+311334.8 52583  890 256 0.19252 17.37
162 J081902.80+474624.6 51868  441 505 0.12549 17.40
163 J084121.85+611638.0 54452 1874 608 0.13306 17.62
164 J085425.78+171249.6 53711 2281  48 0.16368 17.44
