RA,Dec,Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
15:48:33.02,+44:22:26.0,154833.02+442226.0,154833.02+442226.0,0.3215,0.3215,spec,spec,15:48:33.02,+44:22:26.0,237.1375833333333,44.37388888888889,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:50:18.55,+57:07:58.0,155018.55+570758.0,155018.55+570758.0,0.3557,0.3557,spec,spec,15:50:18.55,+57:07:58.0,237.57729166666664,57.132777777777775,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:52:21.70,+22:04:54.7,155221.70+220454.7,155221.70+220454.7,0.4302,0.4302,spec,spec,15:52:21.70,+22:04:54.7,238.09041666666664,22.08186111111111,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:53:55.19,+06:51:57.4,155355.19+065157.4,155355.19+065157.4,0.7385,0.7385,spec,spec,15:53:55.19,+06:51:57.4,238.47995833333331,6.865944444444444,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
15:57:42.23,+10:56:15.6,155742.23+105615.6,155742.23+105615.6,0.509,0.509,spec,spec,15:57:42.23,+10:56:15.6,239.42595833333328,10.937666666666667,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:00:49.74,+16:58:53.3,160049.74+165853.3,160049.74+165853.3,0.454,0.454,spec,spec,16:00:49.74,+16:58:53.3,240.20725,16.98147222222222,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:02:44.48,+02:21:42.7,160244.48+022142.7,160244.48+022142.7,0.346,0.346,spec,spec,16:02:44.48,+02:21:42.7,240.68533333333332,2.361861111111111,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:03:12.97,+29:59:05.0,160312.97+295905.0,160312.97+295905.0,0.5585,0.5585,spec,spec,16:03:12.97,+29:59:05.0,240.80404166666668,29.984722222222224,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:04:01.74,+00:06:57.6,160401.74+000657.6,160401.74+000657.6,0.382,0.382,spec,spec,16:04:01.74,+00:06:57.6,241.00724999999994,0.116,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:04:21.72,+47:43:54.0,160421.72+474354.0,160421.72+474354.0,0.538,0.538,spec,spec,16:04:21.72,+47:43:54.0,241.0905,47.73166666666667,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:04:33.16,+16:46:38.9,160433.16+164638.9,160433.16+164638.9,0.3676,0.3676,spec,spec,16:04:33.16,+16:46:38.9,241.13816666666662,16.777472222222222,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:07:42.94,+43:28:16.4,160742.94+432816.4,160742.94+432816.4,0.5972,0.5972,spec,spec,16:07:42.94,+43:28:16.4,241.92891666666665,43.471222222222224,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:09:51.75,+40:12:52.3,160951.75+401252.3,160951.75+401252.3,0.4594,0.4594,spec,spec,16:09:51.75,+40:12:52.3,242.46562499999996,40.21452777777778,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:12:04.77,+27:35:03.1,161204.77+273503.1,161204.77+273503.1,0.331,0.331,spec,spec,16:12:04.77,+27:35:03.1,243.01987499999998,27.584194444444442,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:13:51.68,+17:20:14.0,161351.68+172014.0,161351.68+172014.0,0.2437,0.2437,spec,spec,16:13:51.68,+17:20:14.0,243.4653333333333,17.33722222222222,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:17:37.59,+48:05:00.0,161737.59+480500.0,161737.59+480500.0,0.7286,0.7286,spec,spec,16:17:37.59,+48:05:00.0,244.40662499999996,48.083333333333336,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
16:18:55.22,+31:10:30.6,161855.22+311030.6,161855.22+311030.6,0.4463,0.4463,spec,spec,16:18:55.22,+31:10:30.6,244.73008333333328,31.17516666666667,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
