System Type 1: Triple AGNs,System Type 2: Dual AGNs,System Type 3: Recoils,ST1 Confidence Flag,ST2 Confidence Flag,ST3 Confidence Flag,ST1 Num AGNs,ST2 Num AGNs,ST3 Num AGNs,Literature Name,Selection Method,Confirmation Method,Name1,RA1,Dec1,z1,z1_type,Equinox1,Coordinate_waveband1,Coordinate_Source1,Name2,RA2,Dec2,z2,z2_type,Equinox2,Coordinate_waveband2,Coordinate_Source2,Name3,RA3,Dec3,z3,z3_type,Equinox3,Coordinate_waveband3,Coordinate_Source3,Sep12,Sep13,Sep23,Sep(kpc)12_z1,Sep(kpc)12_z2,Sep(kpc)13_z1,Sep(kpc)13_z3,Sep(kpc)23_z2,Sep(kpc)23_z3,dV_12,dV_13,dV_23,Paper(s),BibCode(s),DOI(s)
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J143430.61+230529.9,14:34:30.61,+23:05:29.9,0.0378,spec,J2000,Optical,SDSS,J143438.51+230443.2,14:34:38.51,+23:04:43.2,0.0374,spec,J2000,Optical,SDSS,J143442.15+230637.5,14:34:42.15,+23:06:37.5,0.0379,spec,J2000,Optical,SDSS,118.59285099824866,172.97609816764884,124.84778585673037,88.919200223292,88.02029001557338,129.69497045854914,130.0225538530732,92.66273832200804,93.84549733721352,115.26599417541992,-28.80955815444755,-144.07554697824216,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J143801.02+101051.5,14:38:01.02,+10:10:51.5,0.0269,spec,J2000,Optical,SDSS,J143802.18+100944.5,14:38:02.18,+10:09:44.5,0.0279,spec,J2000,Optical,SDSS,J143810.34+100805.8,14:38:10.34,+10:08:05.8,0.0277,spec,J2000,Optical,SDSS,69.154304730672,215.38949864214615,155.7507796255735,37.38431225847472,38.72747388431582,116.43799045908017,119.78555333185292,87.2228312308652,86.61839800422922,-291.02582167014697,-232.84334053841994,58.18252523243235,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J150631.41+404146.4,15:06:31.41,+40:41:46.4,0.0294,spec,J2000,Optical,SDSS,J150640.58+404134.9,15:06:40.58,+40:41:34.9,0.0308,spec,J2000,Optical,SDSS,J150645.48+404051.5,15:06:45.48,+40:40:51.5,0.0292,spec,J2000,Optical,SDSS,104.92192591128558,169.1866831905373,70.6385908131954,61.80544866439528,64.63986801630787,99.66133171700886,99.007137448857,43.518732117857496,41.337323588046836,-406.3681261022913,58.097735777349506,464.46573922325854,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J150821.57+191131.6,15:08:21.57,+19:11:31.6,0.0219,spec,J2000,Optical,SDSS,J150823.96+191229.2,15:08:23.96,+19:12:29.2,0.0211,spec,J2000,Optical,SDSS,J150831.30+191103.6,15:08:31.30,+19:11:03.6,0.0204,spec,J2000,Optical,SDSS,66.81302211110058,140.6566925098288,134.68047795294456,29.58279095071129,28.529677786805973,62.27854090206489,58.118046573734354,57.50960694131128,55.64872990096135,234.16540707012334,439.2104568977653,205.0452857139978,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J151310.42+042855.5,15:13:10.42,+04:28:55.5,0.036,spec,J2000,Optical,SDSS,J151311.70+042701.6,15:13:11.70,+04:27:01.6,0.0352,spec,J2000,Optical,SDSS,J151311.80+042952.5,15:13:11.80,+04:29:52.5,0.0366,spec,J2000,Optical,SDSS,115.49724903430365,60.62065631383362,170.90654261149146,82.65199002782424,80.8926229488824,43.381274645277486,44.07267972857701,119.700500458347,124.25317992335545,230.9771768193402,-173.11587857309866,-404.09287465638783,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J151640.00+215938.7,15:16:40.00,+21:59:38.7,0.0805,spec,J2000,Optical,SDSS,J151641.90+215955.7,15:16:41.90,+21:59:55.7,0.0814,spec,J2000,Optical,SDSS,J151644.79+215932.2,15:16:44.79,+21:59:32.2,0.0808,spec,J2000,Optical,SDSS,31.42136037390522,66.9377023959786,46.56031126698144,47.712132743902075,48.19516405930547,101.6423383419477,101.98558758495419,71.41580801918681,70.93880627409669,-248.9476417626236,-83.00559688311078,165.94208323518117,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J160633.13+174632.3,16:06:33.13,+17:46:32.3,0.0379,spec,J2000,Optical,SDSS,J160638.60+174659.8,16:06:38.60,+17:46:59.8,0.0368,spec,J2000,Optical,SDSS,J160639.35+174540.3,16:06:39.35,+17:45:40.3,0.039,spec,J2000,Optical,SDSS,82.829554163832,102.94761967265109,80.21858236882811,62.261261995023496,60.533682730854245,77.38359556451378,79.52508628681369,58.62552639881173,61.96733547576785,317.05779875963043,-316.7219488073578,-633.7790356782973,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J160709.88+183828.6,16:07:09.88,+18:38:28.6,0.0388,spec,J2000,Optical,SDSS,J160710.49+184004.7,16:07:10.49,+18:40:04.7,0.0399,spec,J2000,Optical,SDSS,J160715.79+184140.8,16:07:15.79,+18:41:40.8,0.0385,spec,J2000,Optical,SDSS,96.49024130239488,209.7486556673743,122.09437089734382,74.17234060810827,76.17515385023785,161.2344266141572,160.0450539213523,96.38858149608886,93.1619805218063,-316.4476912481565,86.3621028538584,402.8096709666924,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J162906.60+114231.2,16:29:06.60,+11:42:31.2,0.052,spec,J2000,Optical,SDSS,J162907.29+114331.2,16:29:07.29,+11:43:31.2,0.0517,spec,J2000,Optical,SDSS,J162908.94+114447.8,16:29:08.94,+11:44:47.8,0.0506,spec,J2000,Optical,SDSS,60.849853759628424,140.85691356038794,80.34164123708543,61.713344548592765,61.37908628982704,142.85574576632558,139.2401379351012,81.04040068259165,79.41946848770196,85.27831741771926,398.1735131889093,312.89531461256644,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Triple AGN Candidate,Dual AGN Candidate,-99,0.5,0.5,-99,3,2,-99,,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}",-99,J163300.85+114510.1,16:33:00.85,+11:45:10.1,0.0517,spec,J2000,Optical,SDSS,J163304.69+114431.3,16:33:04.69,+11:44:31.3,0.0543,spec,J2000,Optical,SDSS,J163305.33+114532.4,16:33:05.33,+11:45:32.4,0.0533,spec,J2000,Optical,SDSS,68.4519703694492,69.46706212902163,61.81866868422356,69.04732117536585,72.29716576898686,70.07124154416425,72.10323773017299,65.29124747409882,64.16459869891648,-738.2704796974889,-454.5365544961516,283.7349902141642,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
