,Name1,Name2,z1,z2,theta,r,gmag1,gmag2,RA1,Dec1,RA2,Dec2,Equinox,Coordinate_waveband,Coordinate_Source,System Type,z1_type,z2_type,Brightness_band1,Brightness_band2,Brightness_type1,Brightness_type2,delta_z,dV_rwp,Sep(kpc),Selection Method,Confirmation Method,Paper(s),Bibcode(s),DOI(s),RA1_deg,Dec1_deg,RA2_deg,Dec2_deg
14,SDSSJ1123+0037A,SDSSJ1123+0037B,1.172,1.17,56.3,332.1,19.03,20.29,11:23:10.96,+0:37:45.2,11:23:7.21,+0:37:45.7,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0020000000000000018,275.4490433548333,465.24498065065694,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,170.79566666666665,0.6292222222222222,170.78004166666662,0.6293611111111111
15,SDSSJ1124+5710A,SDSSJ1124+5710B,2.311,2.311,2.2,12.7,18.66,19.83,11:24:55.24,+57:10:57.0,11:24:55.44,+57:10:58.4,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0,0.0,18.03618759036568,,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,171.23016666666666,57.1825,171.23099999999997,57.18288888888889
16,SDSSJ1225+5644A,SDSSJ1225+5644B,2.379,2.39,6.0,35.4,19.33,20.56,12:25:45.73,+56:44:40.7,12:25:45.24,+56:44:45.1,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.01100000000000012,-971.7805626872989,48.92564498712369,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,186.44054166666663,56.74463888888889,186.43849999999998,56.74586111111111
17,SDSSJ1254+6104A,SDSSJ1254+6104B,2.051,2.041,17.6,105.6,19.06,19.56,12:54:21.98,+61:4:22.0,12:54:20.52,+61:4:36.0,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.010000000000000231,981.6125881251619,146.9003330794009,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,193.59158333333332,61.07277777777778,193.58549999999997,61.07666666666667
18,SDSSJ1259+1241A,SDSSJ1259+1241B,2.189,2.18,3.6,21.2,19.99,19.89,12:59:55.62,+12:41:53.8,12:59:55.46,+12:41:51.0,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.008999999999999897,845.0289296666747,29.780434310417327,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,194.98174999999995,12.698277777777777,194.9810833333333,12.6975
19,SDSSJ1303+5100A,SDSSJ1303+5100B,1.684,1.686,3.8,23.0,20.32,20.6,13:3:26.17,+51:0:47.5,13:3:26.13,+51:0:51.3,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0020000000000000018,-222.7187773000546,32.17690967510896,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,195.85904166666666,51.013194444444444,195.85887499999998,51.01425
20,SDSSJ1310+6208A,SDSSJ1310+6208B,2.058,2.039,46.9,281.7,18.77,20.5,13:10:37.89,+62:8:21.6,13:10:31.96,+62:8:43.5,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.018999999999999684,1863.521348520715,391.2928734244987,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,197.65787499999996,62.13933333333333,197.63316666666665,62.14541666666667
21,SDSSJ1337+6012A,SDSSJ1337+6012B,1.727,1.721,3.1,18.9,18.58,20.02,13:37:13.13,+60:12:6.7,13:37:13.08,+60:12:9.8,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.006000000000000005,658.5895095607686,26.229529311661143,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,204.3047083333333,60.201861111111114,204.3045,60.20272222222223
22,SDSSJ1349+1227A,SDSSJ1349+1227B,1.722,1.722,3.0,18.3,17.75,19.26,13:49:29.84,+12:27:7.0,13:49:30.0,+12:27:8.8,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0,0.0,25.38605740574627,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,207.37433333333328,12.451944444444443,207.37499999999997,12.452444444444444
23,SDSSJ1400+1232A,SDSSJ1400+1232B,2.053,2.068,14.6,87.7,20.28,20.42,14:0:52.07,+12:32:35.2,14:0:52.56,+12:32:48.0,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.015000000000000124,-1465.43802195789,121.84604485789563,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,210.2169583333333,12.543111111111111,210.21899999999997,12.546666666666667
24,SDSSJ1405+4447A,SDSSJ1405+4447B,2.226,2.246,7.4,44.2,18.15,20.13,14:5:1.94,+44:47:59.9,14:5:2.41,+44:47:54.4,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.020000000000000018,-1847.9427979689538,61.05452643167003,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,211.2580833333333,44.79997222222222,211.26004166666664,44.79844444444444
25,SDSSJ1409+3919A,SDSSJ1409+3919B,2.078,2.083,6.8,40.7,20.22,20.91,14:9:53.74,+39:20:0.0,14:9:53.88,+39:19:53.4,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0050000000000003375,-485.31050652742147,56.664473010418654,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,212.47391666666667,39.333333333333336,212.47449999999998,39.331500000000005
26,SDSSJ1432-0106A,SDSSJ1432-0106B,2.082,2.082,5.1,30.8,17.68,20.95,14:32:29.24,-1:6:16.1,14:32:28.95,-1:6:13.6,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.0,0.0,42.48786882555343,,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,218.1218333333333,-1.1044722222222223,218.120625,-1.103777777777778
27,SDSSJ1530+5304A,SDSSJ1530+5304B,1.531,1.533,4.1,25.0,20.54,20.67,15:30:38.56,+53:4:4.2,15:30:38.82,+53:4:0.8,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,-0.0020000000000000018,-236.17689838990182,34.717415888037934,photo,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,232.66066666666663,53.06783333333334,232.66174999999996,53.06688888888889
28,SDSSJ1546+5134A,SDSSJ1546+5134B,2.949,2.93,42.2,236.0,20.57,19.43,15:46:10.55,+51:34:29.5,15:46:14.24,+51:34:5.0,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.018999999999999684,1442.0527894439913,326.71757256377697,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,236.54395833333334,51.57486111111111,236.5593333333333,51.56805555555556
29,SDSSJ1719+2549A,SDSSJ1719+2549B,2.172,2.17,14.7,87.5,19.93,19.74,17:19:46.66,+25:49:41.2,17:19:45.87,+25:49:51.3,J2000,Optical,SDSS,Binary Quasar,spec,spec,SDSS g PSF ext-corr,SDSS g PSF ext-corr,asinh,asinh,0.002000000000000224,188.58402413390812,121.74673855380539,{chi}^2^,Optical Spectroscopy,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235,259.9444166666666,25.82811111111111,259.94112499999994,25.830916666666667
