,System Type,Literature Name,Selection Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,dV,Sep,Sep(kpc),dV_rwp,Paper(s),BibCode(s),DOI(s),Notes
640,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114026.64+542345.0,,spec,11:40:26.64,+54:23:45.0,,,,17.54,SDSS r-band,mag,J114026.64+542345.0,0.09066,spec,-99,-99,,,,17.54,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
641,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114047+445208,,spec,11:40:47,+44:52:08,,,,-100.0,-100.0,-100.0,J114047+445208,0.06917,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Ge+2012,2009ApJ...705L..76W ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/0067-0049/201/2/31,
642,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114132.99-030231.7,,spec,11:41:32.99,-03:02:31.7,,,,-100.0,-100.0,-100.0,J114132.99-030231.7,0.1245,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Liu+2010a,2010ApJ...708..427L,https://doi.org/10.1088/0004-637X/708/1/427,
643,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114209.44+251758.3,,spec,11:42:09.44,+25:17:58.3,,,,17.63,SDSS r-band,mag,J114209.44+251758.3,0.18075,spec,-99,-99,,,,17.63,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
644,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114249+102700,,spec,11:42:49,+10:27:00,,,,-100.0,-100.0,-100.0,J114249+102700,0.1187,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Ge+2012,2009ApJ...705L..76W ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi:10.1088/0067-0049/201/2/31,
645,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114353.77+010947.2,,spec,11:43:53.77,+01:09:47.2,,,,-100.0,-100,-100,J114353.77+010947.2,0.5296,spec,-99,-99,,,,-100.0,-100,-100,0.0,2,,,Lyu+2016 ; Yuan+2016,2016MNRAS.463...24L ; 2016MNRAS.462.1603Y,https://doi.org/10.1093/mnras/stw1945 ; https://doi.org/10.1093/mnras/stw1747,
646,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114509.42+030731.9,,spec,11:45:09.42,+03:07:31.9,,,,16.53,SDSS r-band,mag,J114509.42+030731.9,0.10619,spec,-99,-99,,,,16.53,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
647,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114530.98+155548.5,,spec,11:45:30.98,+15:55:48.5,,,,15.69,SDSS r-band,mag,J114530.98+155548.5,0.06781,spec,-99,-99,,,,15.69,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
648,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114544.23+405946.1,,spec,11:45:44.23,+40:59:46.1,,,,-100.0,-100.0,-100.0,J114544.23+405946.1,0.539,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Liu+2010a ; Yuan+2016 ; Comerford+2018,2010ApJ...708..427L ; 2016MNRAS.462.1603Y ; 2018ApJ...867...66C,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1093/mnras/stw1747 ; https://doi.org/10.3847/1538-4357/aae2b4, Comerford+2018 studied the kinematics that give rise to the double-peaks.
649,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114600.68+145159.3,,spec,11:46:00.68,+14:51:59.3,,,,16.62,SDSS r-band,mag,J114600.68+145159.3,0.11493,spec,-99,-99,,,,16.62,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
650,Likely Single AGN,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114610.04-022619.2,,spec,11:46:10.04,-02:26:19.2,,,,-100.0,-100.0,-100.0,J114610.04-022619.2,0.1225,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Liu+2010a ; Shen+2011 ; Ge+2012,2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2011ApJ...735...48S ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31,  Shen+2011 attribute the double-peaked lines to NLR kinematics. Only a single nucleus is resolved in near-IR imaging and the spatial offset observed between the two velocity components of the emission lines is larger than >0.6. If the double-peaks were due to two NLRs from dual AGNs there should be two nuclei visible in the imaging.
651,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114640.91+213000.0,,spec,11:46:40.91,+21:30:00.0,,,,17.07,SDSS r-band,mag,J114640.91+213000.0,0.10853,spec,-99,-99,,,,17.07,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
