Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
J025316.45+010759.8,-99,1.03,-99,spec,-99,02:53:16.45,+01:07:59.8,43.31854166666666,1.1332777777777778,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J075543.68+421146.0,-99,0.42,-99,spec,-99,07:55:43.68,+42:11:46.0,118.932,42.19611111111111,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J105417.14+241326.1,-99,1.97,-99,spec,-99,10:54:17.14,+24:13:26.1,163.57141666666666,24.223916666666664,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J015638.55+131757.8,-99,1.98,-99,spec,-99,01:56:38.55,+13:17:57.8,29.160624999999996,13.299388888888888,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J163905.16+142326.4,-99,1.0,-99,spec,-99,16:39:05.16,+14:23:26.4,249.77149999999997,14.390666666666666,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J144426.04-010546.0,-99,0.56,-99,spec,-99,14:44:26.04,-01:05:46.0,221.10849999999996,-1.096111111111111,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J082214.83+431702.0,-99,0.97,-99,spec,-99,08:22:14.83,+43:17:02.0,125.56179166666666,43.28388888888889,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J145126.16+032643.4,-99,0.48,-99,spec,-99,14:51:26.16,+03:26:43.4,222.85899999999995,3.445388888888889,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J104913.85+221831.7,-99,1.98,-99,spec,-99,10:49:13.85,+22:18:31.7,162.3077083333333,22.308805555555555,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J002411.66-004348.1,-99,1.79,-99,spec,-99,00:24:11.66,-00:43:48.1,6.048583333333333,-0.7300277777777778,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
