,System Type,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),delta_z,dV,Paper(s),BibCode(s),DOI(s)
10,Binary Quasar,SDSSJ1010+0416A,SDSSJ1010+0416B,{chi}^2^,Optical Spectroscopy,1.51,spec,1.51,spec,10:10:4.98,+4:16:36.2,152.52074999999996,4.276722222222222,10:10:4.37,+4:16:21.6,152.51820833333332,4.272666666666667,J2000,Optical,SDSS,20.08,SDSS g PSF ext-corr,asinh,20.19,SDSS g PSF ext-corr,asinh,17.2,145.58869231268727,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
11,Binary Quasar,SDSSJ1014+0920A,SDSSJ1014+0921B,{chi}^2^,Optical Spectroscopy,2.293,spec,2.291,spec,10:14:11.43,+9:20:47.7,153.54762499999998,9.346583333333333,10:14:10.29,+9:21:1.7,153.54287499999998,9.350472222222223,J2000,Optical,SDSS,19.14,SDSS g PSF ext-corr,asinh,20.27,SDSS g PSF ext-corr,asinh,22.0,180.61148385330074,0.002000000000000224,181.65247412516382,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
12,Binary Quasar,SDSSJ1028+3929A,SDSSJ1028+3929B,photo,Optical Spectroscopy,1.895,spec,1.885,spec,10:28:43.67,+39:29:36.9,157.1819583333333,39.49358333333333,10:28:44.3,+39:29:34.8,157.1845833333333,39.493,J2000,Optical,SDSS,19.89,SDSS g PSF ext-corr,asinh,20.8,SDSS g PSF ext-corr,asinh,7.5,63.10761432333861,0.010000000000000009,1034.5989793016802,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
13,Binary Quasar,2QZJ1056-0059A,SDSSJ1056-0059B,{chi}^2^,Optical Spectroscopy,2.132,spec,2.128,spec,10:56:44.89,-0:59:33.4,164.18704166666666,-0.9926111111111111,10:56:45.25,-0:59:38.1,164.18854166666665,-0.9939166666666666,J2000,Optical,SDSS,19.93,SDSS g PSF ext-corr,asinh,20.8,SDSS g PSF ext-corr,asinh,7.2,59.79168616300851,0.0040000000000000036,382.1084701860737,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
14,Binary Quasar,SDSSJ1123+0037A,SDSSJ1123+0037B,{chi}^2^,Optical Spectroscopy,1.172,spec,1.17,spec,11:23:10.96,+0:37:45.2,170.79566666666665,0.6292222222222222,11:23:7.21,+0:37:45.7,170.78004166666662,0.6293611111111111,J2000,Optical,SDSS,19.03,SDSS g PSF ext-corr,asinh,20.29,SDSS g PSF ext-corr,asinh,56.3,465.24498065065694,0.0020000000000000018,275.4490433548333,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
15,Binary Quasar,SDSSJ1124+5710A,SDSSJ1124+5710B,,Optical Spectroscopy,2.311,spec,2.311,spec,11:24:55.24,+57:10:57.0,171.23016666666666,57.1825,11:24:55.44,+57:10:58.4,171.23099999999997,57.18288888888889,J2000,Optical,SDSS,18.66,SDSS g PSF ext-corr,asinh,19.83,SDSS g PSF ext-corr,asinh,2.2,18.03618759036568,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
16,Binary Quasar,SDSSJ1225+5644A,SDSSJ1225+5644B,photo,Optical Spectroscopy,2.379,spec,2.39,spec,12:25:45.73,+56:44:40.7,186.44054166666663,56.74463888888889,12:25:45.24,+56:44:45.1,186.43849999999998,56.74586111111111,J2000,Optical,SDSS,19.33,SDSS g PSF ext-corr,asinh,20.56,SDSS g PSF ext-corr,asinh,6.0,48.92564498712369,-0.01100000000000012,-971.7805626872989,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
17,Binary Quasar,SDSSJ1254+6104A,SDSSJ1254+6104B,{chi}^2^,Optical Spectroscopy,2.051,spec,2.041,spec,12:54:21.98,+61:4:22.0,193.59158333333332,61.07277777777778,12:54:20.52,+61:4:36.0,193.58549999999997,61.07666666666667,J2000,Optical,SDSS,19.06,SDSS g PSF ext-corr,asinh,19.56,SDSS g PSF ext-corr,asinh,17.6,146.9003330794009,0.010000000000000231,981.6125881251619,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
18,Binary Quasar,SDSSJ1259+1241A,SDSSJ1259+1241B,photo,Optical Spectroscopy,2.189,spec,2.18,spec,12:59:55.62,+12:41:53.8,194.98174999999995,12.698277777777777,12:59:55.46,+12:41:51.0,194.9810833333333,12.6975,J2000,Optical,SDSS,19.99,SDSS g PSF ext-corr,asinh,19.89,SDSS g PSF ext-corr,asinh,3.6,29.780434310417327,0.008999999999999897,845.0289296666747,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
19,Binary Quasar,SDSSJ1303+5100A,SDSSJ1303+5100B,photo,Optical Spectroscopy,1.684,spec,1.686,spec,13:3:26.17,+51:0:47.5,195.85904166666666,51.013194444444444,13:3:26.13,+51:0:51.3,195.85887499999998,51.01425,J2000,Optical,SDSS,20.32,SDSS g PSF ext-corr,asinh,20.6,SDSS g PSF ext-corr,asinh,3.8,32.17690967510896,-0.0020000000000000018,-222.7187773000546,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
20,Binary Quasar,SDSSJ1310+6208A,SDSSJ1310+6208B,{chi}^2^,Optical Spectroscopy,2.058,spec,2.039,spec,13:10:37.89,+62:8:21.6,197.65787499999996,62.13933333333333,13:10:31.96,+62:8:43.5,197.63316666666665,62.14541666666667,J2000,Optical,SDSS,18.77,SDSS g PSF ext-corr,asinh,20.5,SDSS g PSF ext-corr,asinh,46.9,391.2928734244987,0.018999999999999684,1863.521348520715,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
21,Binary Quasar,SDSSJ1337+6012A,SDSSJ1337+6012B,{chi}^2^,Optical Spectroscopy,1.727,spec,1.721,spec,13:37:13.13,+60:12:6.7,204.3047083333333,60.201861111111114,13:37:13.08,+60:12:9.8,204.3045,60.20272222222223,J2000,Optical,SDSS,18.58,SDSS g PSF ext-corr,asinh,20.02,SDSS g PSF ext-corr,asinh,3.1,26.229529311661143,0.006000000000000005,658.5895095607686,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
22,Binary Quasar,SDSSJ1349+1227A,SDSSJ1349+1227B,{chi}^2^,Optical Spectroscopy,1.722,spec,1.722,spec,13:49:29.84,+12:27:7.0,207.37433333333328,12.451944444444443,13:49:30.0,+12:27:8.8,207.37499999999997,12.452444444444444,J2000,Optical,SDSS,17.75,SDSS g PSF ext-corr,asinh,19.26,SDSS g PSF ext-corr,asinh,3.0,25.38605740574627,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
23,Binary Quasar,SDSSJ1400+1232A,SDSSJ1400+1232B,photo,Optical Spectroscopy,2.053,spec,2.068,spec,14:0:52.07,+12:32:35.2,210.2169583333333,12.543111111111111,14:0:52.56,+12:32:48.0,210.21899999999997,12.546666666666667,J2000,Optical,SDSS,20.28,SDSS g PSF ext-corr,asinh,20.42,SDSS g PSF ext-corr,asinh,14.6,121.84604485789563,-0.015000000000000124,-1465.43802195789,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
24,Binary Quasar,SDSSJ1405+4447A,SDSSJ1405+4447B,{chi}^2^,Optical Spectroscopy,2.226,spec,2.246,spec,14:5:1.94,+44:47:59.9,211.2580833333333,44.79997222222222,14:5:2.41,+44:47:54.4,211.26004166666664,44.79844444444444,J2000,Optical,SDSS,18.15,SDSS g PSF ext-corr,asinh,20.13,SDSS g PSF ext-corr,asinh,7.4,61.05452643167003,-0.020000000000000018,-1847.9427979689538,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
25,Binary Quasar,SDSSJ1409+3919A,SDSSJ1409+3919B,photo,Optical Spectroscopy,2.078,spec,2.083,spec,14:9:53.74,+39:20:0.0,212.47391666666667,39.333333333333336,14:9:53.88,+39:19:53.4,212.47449999999998,39.331500000000005,J2000,Optical,SDSS,20.22,SDSS g PSF ext-corr,asinh,20.91,SDSS g PSF ext-corr,asinh,6.8,56.664473010418654,-0.0050000000000003375,-485.31050652742147,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
26,Binary Quasar,SDSSJ1432-0106A,SDSSJ1432-0106B,,Optical Spectroscopy,2.082,spec,2.082,spec,14:32:29.24,-1:6:16.1,218.1218333333333,-1.1044722222222223,14:32:28.95,-1:6:13.6,218.120625,-1.103777777777778,J2000,Optical,SDSS,17.68,SDSS g PSF ext-corr,asinh,20.95,SDSS g PSF ext-corr,asinh,5.1,42.48786882555343,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
27,Binary Quasar,SDSSJ1530+5304A,SDSSJ1530+5304B,photo,Optical Spectroscopy,1.531,spec,1.533,spec,15:30:38.56,+53:4:4.2,232.66066666666663,53.06783333333334,15:30:38.82,+53:4:0.8,232.66174999999996,53.06688888888889,J2000,Optical,SDSS,20.54,SDSS g PSF ext-corr,asinh,20.67,SDSS g PSF ext-corr,asinh,4.1,34.717415888037934,-0.0020000000000000018,-236.17689838990182,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
28,Binary Quasar,SDSSJ1546+5134A,SDSSJ1546+5134B,{chi}^2^,Optical Spectroscopy,2.949,spec,2.93,spec,15:46:10.55,+51:34:29.5,236.54395833333334,51.57486111111111,15:46:14.24,+51:34:5.0,236.5593333333333,51.56805555555556,J2000,Optical,SDSS,20.57,SDSS g PSF ext-corr,asinh,19.43,SDSS g PSF ext-corr,asinh,42.2,326.71757256377697,0.018999999999999684,1442.0527894439913,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
29,Binary Quasar,SDSSJ1719+2549A,SDSSJ1719+2549B,{chi}^2^,Optical Spectroscopy,2.172,spec,2.17,spec,17:19:46.66,+25:49:41.2,259.9444166666666,25.82811111111111,17:19:45.87,+25:49:51.3,259.94112499999994,25.830916666666667,J2000,Optical,SDSS,19.93,SDSS g PSF ext-corr,asinh,19.74,SDSS g PSF ext-corr,asinh,14.7,121.74673855380539,0.002000000000000224,188.58402413390812,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
30,Binary Quasar,SDSSJ1723+5904A,SDSSJ1723+5904B,{chi}^2^,Optical Spectroscopy,1.604,spec,1.597,spec,17:23:17.42,+59:4:46.8,260.8225833333333,59.07966666666667,17:23:17.3,+59:4:43.2,260.8220833333333,59.07866666666667,J2000,Optical,SDSS,19.04,SDSS g PSF ext-corr,asinh,20.43,SDSS g PSF ext-corr,asinh,3.7,31.348124153504312,0.007000000000000117,804.8437641518093,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
31,Binary Quasar,SDSSJ2128-0617A,SDSSJ2128-0617B,photo,Optical Spectroscopy,2.065,spec,2.062,spec,21:28:57.38,-6:17:50.9,322.23908333333327,-6.297472222222222,21:28:57.74,-6:17:57.2,322.2405833333333,-6.299222222222222,J2000,Optical,SDSS,19.88,SDSS g PSF ext-corr,asinh,19.96,SDSS g PSF ext-corr,asinh,8.3,69.21884510547198,0.0030000000000001137,292.8022800555746,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
32,Binary Quasar,SDSSJ2214+1326A,SDSSJ2214+1326B,photo,Optical Spectroscopy,2.002,spec,1.995,spec,22:14:27.03,+13:26:57.0,333.612625,13.449166666666667,22:14:26.79,+13:26:52.3,333.61162499999995,13.447861111111111,J2000,Optical,SDSS,20.15,SDSS g PSF ext-corr,asinh,20.37,SDSS g PSF ext-corr,asinh,5.8,48.545869028471174,0.006999999999999673,698.014723477497,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
33,Binary Quasar,SDSSJ2220+1247A,SDSSJ2220+1247B,photo,Optical Spectroscopy,1.987,spec,2.003,spec,22:20:30.26,+12:47:33.5,335.12608333333327,12.792638888888888,22:20:29.53,+12:47:45.1,335.1230416666666,12.795861111111112,J2000,Optical,SDSS,19.99,SDSS g PSF ext-corr,asinh,20.81,SDSS g PSF ext-corr,asinh,15.9,133.1906628781954,-0.016000000000000014,-1597.3174848098072,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
34,Binary Quasar,SDSSJ2348+0057A,SDSSJ2348+0057B,,Optical Spectroscopy,2.157,spec,2.157,spec,23:48:19.59,+0:57:21.5,357.081625,0.9559722222222222,23:48:19.19,+0:57:17.5,357.0799583333333,0.954861111111111,J2000,Optical,SDSS,18.78,SDSS g PSF ext-corr,asinh,20.57,SDSS g PSF ext-corr,asinh,7.1,58.86299506447907,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
35,Binary Quasar,SDSSJ0740+2926A,SDSSJ0740+2926B,Lens Selection,Optical Spectroscopy,0.978,spec,0.98,spec,7:40:13.45,+29:26:48.4,115.05604166666666,29.44677777777778,7:40:13.43,+29:26:45.7,115.05595833333332,29.44602777777778,J2000,Optical,SDSS,18.46,SDSS g PSF ext-corr,asinh,19.67,SDSS g PSF ext-corr,asinh,2.6,20.711019647319866,-0.0020000000000000018,-302.17273739786566,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
36,Binary Quasar,SDSSJ1035+0752A,SDSSJ1035+0752B,Lens Selection,Optical Spectroscopy,1.216,spec,1.218,spec,10:35:19.37,+7:52:58.0,158.83070833333332,7.882777777777778,10:35:19.23,+7:52:56.4,158.83012499999998,7.882333333333333,J2000,Optical,SDSS,19.13,SDSS g PSF ext-corr,asinh,20.42,SDSS g PSF ext-corr,asinh,2.7,22.434884645473442,-0.0020000000000000018,-269.7338197265595,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
37,Binary Quasar,SDSSJ1138+6807A,SDSSJ1138+6807B,Lens Selection,Optical Spectroscopy,0.769,spec,0.774,spec,11:38:9.21,+68:7:38.8,174.53837499999997,68.12744444444444,11:38:8.89,+68:7:36.9,174.53704166666665,68.12691666666666,J2000,Optical,SDSS,17.98,SDSS g PSF ext-corr,asinh,19.74,SDSS g PSF ext-corr,asinh,2.6,19.253711816599935,-0.0050000000000000044,-843.9159032425526,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
38,Binary Quasar,SDSSJ1508+3328A,SDSSJ1508+3328B,Lens Selection,Optical Spectroscopy,0.878,spec,0.878,spec,15:8:42.21,+33:28:2.6,227.17587499999996,33.46738888888889,15:8:42.22,+33:28:5.5,227.1759166666666,33.46819444444445,J2000,Optical,SDSS,17.78,SDSS g PSF ext-corr,asinh,20.36,SDSS g PSF ext-corr,asinh,2.9,22.431265435843773,0.0,0.0,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
39,Binary Quasar,SDSSJ1600+0000A,SDSSJ1600+0000B,Lens Selection,Optical Spectroscopy,1.011,spec,1.011,spec,16:0:15.5,+0:0:45.5,240.06458333333327,0.012638888888888889,16:0:15.5,+0:0:45.5,240.06458333333327,0.012638888888888889,J2000,Optical,SDSS,19.11,SDSS g PSF ext-corr,asinh,0.0,SDSS g PSF ext-corr,asinh,1.9,15.255480408894021,0.0,0.0,Pindor+2006 ; Hennawi+2006,2006AJ....131...41P ; 2006AJ....131....1H,https://doi.org/10.1086/497965 ; https://doi.org/10.1086/498235
40,Binary Quasar,SDSSJ0003-0103A,SDSSJ0003-0101B,Overlapping Plates,Optical Spectroscopy,0.914,spec,0.909,spec,0:3:50.76,-1:3:59.5,0.9614999999999999,-1.0665277777777777,0:3:56.57,-1:1:31.7,0.9857083333333333,-1.0254722222222221,J2000,Optical,SDSS,19.53,SDSS g PSF ext-corr,asinh,19.87,SDSS g PSF ext-corr,asinh,171.6,1342.7985660637555,0.0050000000000000044,782.1069540977336,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
41,Binary Quasar,SDSSJ0012+0052A,SDSSJ0012+0053B,Overlapping Plates,Optical Spectroscopy,1.634,spec,1.649,spec,0:12:1.88,+0:52:59.7,3.007833333333333,0.88325,0:12:2.35,+0:53:14.1,3.0097916666666666,0.88725,J2000,Optical,SDSS,20.82,SDSS g PSF ext-corr,asinh,20.82,SDSS g PSF ext-corr,asinh,16.0,135.54887069774634,-0.015000000000000124,-1697.8852333943696,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
42,Binary Quasar,SDSSJ0014+0112A,SDSSJ0014+0113B,Overlapping Plates,Optical Spectroscopy,2.173,spec,2.179,spec,0:14:20.18,+1:12:12.7,3.584083333333333,1.2035277777777778,0:14:27.94,+1:13:33.2,3.6164166666666664,1.225888888888889,J2000,Optical,SDSS,19.93,SDSS g PSF ext-corr,asinh,20.66,SDSS g PSF ext-corr,asinh,141.5,1171.8353503490569,-0.005999999999999783,-564.8609569658316,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
43,Binary Quasar,SDSSJ0014-0028A,SDSSJ0014-0029B,Overlapping Plates,Optical Spectroscopy,1.924,spec,1.92,spec,0:14:53.36,-0:28:27.6,3.7223333333333333,-0.47433333333333333,0:14:57.58,-0:29:39.1,3.7399166666666663,-0.49419444444444444,J2000,Optical,SDSS,19.37,SDSS g PSF ext-corr,asinh,19.47,SDSS g PSF ext-corr,asinh,95.4,801.6750752883088,0.0040000000000000036,409.3085009196567,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
44,Binary Quasar,SDSSJ0025-1048A,SDSSJ0025-1051B,Overlapping Plates,Optical Spectroscopy,2.405,spec,2.386,spec,0:25:46.94,-10:48:54.3,6.4455833333333326,-10.815083333333334,0:25:44.61,-10:51:37.6,6.435875,-10.860444444444443,J2000,Optical,SDSS,19.86,SDSS g PSF ext-corr,asinh,20.24,SDSS g PSF ext-corr,asinh,166.9,1358.068459860056,0.018999999999999684,1673.0836491280015,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
45,Binary Quasar,SDSSJ0033-0018A,SDSSJ0033-0018B,Overlapping Plates,Optical Spectroscopy,0.688,spec,0.699,spec,0:33:33.62,-0:18:58.2,8.390083333333333,-0.31616666666666665,0:33:25.4,-0:18:29.7,8.355833333333333,-0.30824999999999997,J2000,Optical,SDSS,18.04,SDSS g PSF ext-corr,asinh,19.68,SDSS g PSF ext-corr,asinh,126.5,897.6712576755305,-0.01100000000000001,-1942.111195278168,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
46,Binary Quasar,SDSSJ0044+0018A,SDSSJ0044+0019B,Overlapping Plates,Optical Spectroscopy,1.872,spec,1.88,spec,0:44:39.33,+0:18:22.9,11.163874999999997,0.3063611111111111,0:44:34.09,+0:19:3.5,11.142041666666664,0.31763888888888886,J2000,Optical,SDSS,18.36,SDSS g PSF ext-corr,asinh,19.14,SDSS g PSF ext-corr,asinh,88.6,746.2375145696152,-0.007999999999999785,-831.7091004754673,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
47,Binary Quasar,SDSSJ0049+0003A,SDSSJ0049+0004B,Overlapping Plates,Optical Spectroscopy,1.33,spec,1.336,spec,0:49:50.92,+0:3:30.1,12.462166666666665,0.058361111111111114,0:49:55.91,+0:4:24.8,12.482958333333332,0.07355555555555555,J2000,Optical,SDSS,19.75,SDSS g PSF ext-corr,asinh,20.0,SDSS g PSF ext-corr,asinh,92.8,779.2539600516124,-0.006000000000000005,-768.9657237743787,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
48,Binary Quasar,SDSSJ0106+0024A,SDSSJ0106+0023B,Overlapping Plates,Optical Spectroscopy,1.017,spec,1.019,spec,1:6:43.11,+0:24:35.1,16.679625,0.40975,1:6:54.05,+0:23:45.0,16.72520833333333,0.39583333333333337,J2000,Optical,SDSS,19.88,SDSS g PSF ext-corr,asinh,20.23,SDSS g PSF ext-corr,asinh,171.7,1380.48725852519,-0.0020000000000000018,-296.33293020572887,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
49,Binary Quasar,SDSSJ0117-0030A,SDSSJ0117-0029B,Overlapping Plates,Optical Spectroscopy,1.826,spec,1.824,spec,1:17:31.09,-0:30:2.3,19.37954166666666,-0.5006388888888889,1:17:27.57,-0:29:11.7,19.364874999999994,-0.4865833333333333,J2000,Optical,SDSS,20.53,SDSS g PSF ext-corr,asinh,20.36,SDSS g PSF ext-corr,asinh,73.1,616.7698188842835,0.0020000000000000018,211.68138940481353,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
50,Binary Quasar,SDSSJ0117+0020A,SDSSJ0117+0021B,Overlapping Plates,Optical Spectroscopy,0.613,spec,0.611,spec,1:17:58.84,+0:20:21.5,19.495166666666663,0.3393055555555555,1:17:58.0,+0:21:4.1,19.491666666666664,0.3511388888888889,J2000,Optical,SDSS,17.67,SDSS g PSF ext-corr,asinh,20.01,SDSS g PSF ext-corr,asinh,44.5,300.44781466173146,0.0020000000000000018,370.9675991757059,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
51,Binary Quasar,SDSSJ0129-0055A,SDSSJ0129-0057B,Overlapping Plates,Optical Spectroscopy,1.475,spec,1.48,spec,1:29:42.65,-0:55:59.0,22.42770833333333,-0.9330555555555555,1:29:45.47,-0:57:4.9,22.43945833333333,-0.9513611111111111,J2000,Optical,SDSS,19.46,SDSS g PSF ext-corr,asinh,20.16,SDSS g PSF ext-corr,asinh,78.3,662.1954046470798,-0.004999999999999893,-603.4302634606884,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
52,Binary Quasar,SDSSJ0137-0034A,SDSSJ0137-0036B,Overlapping Plates,Optical Spectroscopy,1.807,spec,1.819,spec,1:37:32.24,-0:34:52.1,24.38433333333333,-0.5811388888888889,1:37:22.54,-0:36:0.1,24.343916666666665,-0.6000277777777777,J2000,Optical,SDSS,18.13,SDSS g PSF ext-corr,asinh,19.25,SDSS g PSF ext-corr,asinh,160.7,1356.7577771433287,-0.01200000000000001,-1275.5007737262858,Hennawi+2006,2006AJ....131....1H,https://doi.org/10.1086/498235
