System Type,Equinox,Brightness1,Brightness_band1,Brightness_type1,Paper(s),BibCode(s),DOI(s),Notes,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Brightness2,Brightness_band2,Brightness_type2,dV,Coordinate_waveband1,Coordinate_Source1,Equinox1,Sep
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J093850.7+090900,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:38:50.708,+9:9:0.97,9:38:50.708,+9:9:0.97,144.7112833333333,9.150269444444445,144.7112833333333,9.150269444444445,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J094036.5+465058,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:40:36.555,+46:50:58.77,9:40:36.555,+46:50:58.77,145.15231249999997,46.84965833333334,145.15231249999997,46.84965833333334,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,22.6,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0941+2147,J0941+2147,X-Shaped Radio Source,-99,0.572,-99,-99,-99,9:41:58.31,+21:47:44.2,9:41:58.31,+21:47:44.2,145.49295833333332,21.795611111111114,145.49295833333332,21.795611111111114,22.6,22.6,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,830.0,1.4 GHz NVSS,Flux: mJy,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0941-0143,J0941-0143,X-Shaped Radio Source,-99,0.382,-99,-99,-99,9:41:22.58,-1:43:1.1,9:41:22.58,-1:43:1.1,145.34408333333332,-1.7169722222222223,145.34408333333332,-1.7169722222222223,830.0,830.0,Flux: mJy,-99,Optical,USNO,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0942+0444,J0942+0444,X-Shaped Radio Source,-99,0.718,PHOT,-99,-99,9:42:40.45,+4:44:23.1,9:42:40.45,+4:44:23.1,145.66854166666664,4.73975,145.66854166666664,4.73975,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,20.6,r SDSS,asinh model mag,Cheung+2007 ; Proctor+2011 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2011ApJS..194...31P ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.1088/0067-0049/194/2/31 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J0943+2834,J0943+2834,X-Shaped Radio Source,-99,0.574,-99,-99,-99,9:43:2.25,+28:34:45.8,9:43:2.25,+28:34:45.8,145.75937499999998,28.57938888888889,145.75937499999998,28.57938888888889,20.6,20.6,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J094745.2+072518,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:47:45.283,+7:25:18.83,9:47:45.283,+7:25:18.83,146.93867916666665,7.421897222222222,146.93867916666665,7.421897222222222,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011 ; Yang+2019,2011ApJS..194...31P ; 2019ApJS..245...17Y,https://doi.org/10.1088/0067-0049/194/2/31 ; https://doi.org/10.3847/1538-4365/ab4811,-99,J094858.8+172254,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:48:58.879,+17:22:54.56,9:48:58.879,+17:22:54.56,147.24532916666666,17.381822222222223,147.24532916666666,17.381822222222223,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0949+4456,J0949+4456,X-Shaped Radio Source,-99,0.19,PHOT,-99,-99,9:49:53.64,+44:56:55.7,9:49:53.64,+44:56:55.7,147.4735,44.94880555555555,147.4735,44.94880555555555,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J095037.9+225504,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,9:50:37.91,+22:55:4.77,9:50:37.91,+22:55:4.77,147.65795833333334,22.91799166666667,147.65795833333334,22.91799166666667,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
