Name1,z1,imag1,Name2,z2,imag2,theta,Com,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,dV
SDSSJ130439.13+210559.9,2.015,18.77,SDSSJ130438.38+210555.4,-99.0,18.25,11.6,no lensing object,spec,-99,13:04:39.13,+21:05:59.9,13:04:38.38,+21:05:55.4,196.16304166666666,21.09997222222222,196.15991666666662,21.09872222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,11.6,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ130548.06+261930.0,1.496,19.09,SDSSJ130548.83+261932.7,-99.0,18.21,10.67,no lensing object,spec,-99,13:05:48.06,+26:19:30.0,13:05:48.83,+26:19:32.7,196.45025,26.325,196.45345833333332,26.32575,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.67,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ131017.23+105448.3,2.134,18.68,SDSSJ131018.17+105458.3,-99.0,19.0,16.93,no lensing object,spec,-99,13:10:17.23,+10:54:48.3,13:10:18.17,+10:54:58.3,197.57179166666663,10.913416666666667,197.5757083333333,10.916194444444445,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,16.93,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ131531.76+262132.3,1.525,18.45,SDSSJ131531.82+262116.2,-99.0,19.08,16.14,no lensing object,spec,-99,13:15:31.76,+26:21:32.3,13:15:31.82,+26:21:16.2,198.8823333333333,26.358972222222224,198.88258333333332,26.3545,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,16.14,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ131847.14+105245.0,0.844,19.02,SDSSJ131846.35+105233.6,1.91,19.16,16.41,QSO pair,spec,spec,13:18:47.14,+10:52:45.0,13:18:46.35,+10:52:33.6,199.69641666666666,10.879166666666666,199.69312499999998,10.876000000000001,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,16.41,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-127671.53448019609
SDSSJ132551.85+080957.2,1.448,18.71,SDSSJ132551.79+080947.0,-99.0,18.01,10.32,no lensing object,spec,-99,13:25:51.85,+08:09:57.2,13:25:51.79,+08:09:47.0,201.46604166666665,8.165888888888889,201.46579166666663,8.163055555555555,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.32,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ133139.33+082647.1,1.586,17.98,SDSSJ133138.87+082641.1,-99.0,19.29,9.15,no lensing object,spec,-99,13:31:39.33,+08:26:47.1,13:31:38.87,+08:26:41.1,202.913875,8.446416666666666,202.91195833333333,8.44475,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,9.15,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ133353.11+132614.0,1.786,18.86,SDSSJ133353.20+132612.0,-99.0,20.02,2.35,no lensing object,spec,-99,13:33:53.11,+13:26:14.0,13:33:53.20,+13:26:12.0,203.47129166666664,13.437222222222223,203.47166666666664,13.436666666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.35,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ133818.02+095210.8,1.69,18.61,SDSSJ133818.01+095212.3,-99.0,19.61,1.5,no lensing object,spec,-99,13:38:18.02,+09:52:10.8,13:38:18.01,+09:52:12.3,204.5750833333333,9.869666666666667,204.57504166666664,9.870083333333334,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.5,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ134953.90+220927.7,1.308,18.88,SDSSJ134953.79+220912.5,-99.0,19.35,15.25,no lensing object,spec,-99,13:49:53.90,+22:09:27.7,13:49:53.79,+22:09:12.5,207.47458333333333,22.15769444444444,207.474125,22.15347222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,15.25,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
