RA1,Dec1,Name1,Name2,z1,z2,z1_type,z2_type,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),RA,Dec,Notes
15:04:30.86,+30:31:33.6,J150430.86+303133.6,-99,0.145334,-99,spec,-99,226.1285833333333,30.526,15:04:30.86,+30:31:33.6,226.1285833333333,30.526,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-127.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:04:30.86,+30:31:33.6,
15:05:07.92,+14:02:34.2,J150507.92+140234.2,-99,0.14246,-99,spec,-99,226.283,14.042833333333332,15:05:07.92,+14:02:34.2,226.283,14.042833333333332,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-96.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:05:07.92,+14:02:34.2,
15:06:00.99,+24:36:04.2,J150600.99+243604.2,-99,0.116883,-99,spec,-99,226.50412499999996,24.601166666666668,15:06:00.99,+24:36:04.2,226.50412499999996,24.601166666666668,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-66.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:06:00.99,+24:36:04.2,
15:12:25.81,+02:46:45.0,J151225.81+024645.0,-99,0.092297,-99,spec,-99,228.10754166666663,2.779166666666667,15:12:25.81,+02:46:45.0,228.10754166666663,2.779166666666667,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-63.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:12:25.81,+02:46:45.0,
15:14:39.79,+26:35:39.1,J151439.79+263539.1,-99,0.032175,-99,spec,-99,228.66579166666662,26.594194444444444,15:14:39.79,+26:35:39.1,228.66579166666662,26.594194444444444,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,54.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:14:39.79,+26:35:39.1,
15:14:51.46,+28:37:09.9,J151451.46+283709.9,-99,0.113224,-99,spec,-99,228.71441666666664,28.619416666666666,15:14:51.46,+28:37:09.9,228.71441666666664,28.619416666666666,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,94.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:14:51.46,+28:37:09.9,
15:15:05.55,+43:09:02.0,J151505.55+430902.0,-99,0.017887,-99,spec,-99,228.77312499999996,43.150555555555556,15:15:05.55,+43:09:02.0,228.77312499999996,43.150555555555556,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,99.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:15:05.55,+43:09:02.0,
15:15:11.11,+03:50:54.6,J151511.11+035054.6,-99,0.078337,-99,spec,-99,228.79629166666663,3.8485,15:15:11.11,+03:50:54.6,228.79629166666663,3.8485,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-58.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:15:11.11,+03:50:54.6,
15:18:58.17,+20:48:55.3,J151858.17+204855.3,-99,0.041834,-99,spec,-99,229.74237499999998,20.815361111111113,15:18:58.17,+20:48:55.3,229.74237499999998,20.815361111111113,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,58.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:18:58.17,+20:48:55.3,
15:19:25.11,+06:47:47.1,J151925.11+064747.1,-99,0.104393,-99,spec,-99,229.85462499999997,6.7964166666666666,15:19:25.11,+06:47:47.1,229.85462499999997,6.7964166666666666,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,91.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:19:25.11,+06:47:47.1,
15:19:33.75,+34:06:35.1,J151933.75+340635.1,-99,0.19966,-99,spec,-99,229.89062499999997,34.10975,15:19:33.75,+34:06:35.1,229.89062499999997,34.10975,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-154.8,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:19:33.75,+34:06:35.1,
15:19:41.98,+14:25:17.4,J151941.98+142517.4,-99,0.142905,-99,spec,-99,229.92491666666663,14.4215,15:19:41.98,+14:25:17.4,229.92491666666663,14.4215,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,64.8,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:19:41.98,+14:25:17.4,
15:19:47.89,+27:46:21.6,J151947.89+274621.6,-99,0.084128,-99,spec,-99,229.94954166666665,27.772666666666666,15:19:47.89,+27:46:21.6,229.94954166666665,27.772666666666666,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-60.5,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:19:47.89,+27:46:21.6,
15:20:21.81,-00:02:26.5,J152021.81-000226.5,-99,0.057095,-99,spec,-99,230.09087499999998,-0.04069444444444444,15:20:21.81,-00:02:26.5,230.09087499999998,-0.04069444444444444,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,54.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:20:21.81,-00:02:26.5,
15:24:04.20,+08:23:05.2,J152404.20+082305.2,-99,0.076355,-99,spec,-99,231.01749999999998,8.384777777777778,15:24:04.20,+08:23:05.2,231.01749999999998,8.384777777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,73.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:24:04.20,+08:23:05.2,
15:24:06.88,+28:42:18.5,J152406.88+284218.5,-99,0.097686,-99,spec,-99,231.02866666666665,28.70513888888889,15:24:06.88,+28:42:18.5,231.02866666666665,28.70513888888889,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,61.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,15:24:06.88,+28:42:18.5,
