System Type 1: Dual AGNs,ST1 Num AGNs,ST1 Confidence Flag,System Type 2: Binary AGNs,ST2 Num AGNs,ST2 Confidence Flag,System Type 3: Recoiling AGNs,ST3 Num AGNs,ST3 Confidence Flag,Literature Name,Selection Method,Analysis Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Sep,Sep(kpc),dV,Paper(s),BibCode(s),DOI(s)
Dual AGN,2,1.0,-99,-99,-99.0,-99,-99,-99.0,SDSS J005113.92+002047.0,"{'Optical': ['Fiber Spectroscopy', 'Imaging', 'Spectroscopic Emission Line Ratios', 'Spectroscopy'], 'Radio': ['Double Sources', 'Imaging']}","{'Radio': ['Sources', 'Imaging'], 'Optical': ['Fiber Spectroscopy', 'Imaging', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{'Radio': ['Imaging']},J005113.94+002047.2,0.1124,spec,00:51:13.94,+00:20:47.2,Optical,SDSS,J2000,J005114.12+002049.2,0.1126,spec,00:51:14.12,+00:20:49.2,J2000,Optical,SDSS,3.360019798089673,6.877886107857012,-53.75280855445622,Liu+2011b ; Fu+2015 ; Fu+2015b ; Gross+2019,2011ApJ...737..101L ; 2015ApJ...799...72F ; 2015ApJ...815L...6F ; 2019ApJ...883...50G,https://doi.org/10.1088/0004-637X/737/2/101 ; https://doi.org/10.1088/0004-637X/799/1/72 ; https://doi.org/10.1088/2041-8205/815/1/L6 ; https://doi.org/10.3847/1538-4357/ab3795
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00512522+1603401,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005125.23+160340.1,0.0623,spec,00:51:25.23,+16:03:40.1,Optical,SDSS,J2000,J005127.67+160443.1,0.062,spec,00:51:27.67,+16:04:43.1,J2000,Optical,SDSS,72.1520482926992,86.61219135123457,84.45134699527466,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00514134+0101272,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005141.33+010127.2,0.0666,spec,00:51:41.33,+01:01:27.2,Optical,SDSS,J2000,J005142.87+010143.1,0.0672,spec,00:51:42.87,+01:01:43.1,J2000,Optical,SDSS,28.04012776705071,36.0989759083899,-168.1507037354864,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,SDSS J005214.80+003456.3,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005214.82+003456.4,0.1156,spec,00:52:14.82,+00:34:56.4,Optical,SDSS,J2000,J005214.90+003458.9,0.115,spec,00:52:14.90,+00:34:58.9,J2000,Optical,SDSS,2.7730580730413186,5.80776659489069,160.85357035755314,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00561938+1353262,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005619.38+135326.2,0.0386,spec,00:56:19.38,+13:53:26.2,Optical,SDSS,J2000,J005620.79+135143.8,0.0398,spec,00:56:20.79,+13:51:43.8,J2000,Optical,SDSS,104.4382766608261,82.25297313502712,-345.26547381933045,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,LEDA 1157523,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005639.15+000701.0,0.071,spec,00:56:39.15,+00:07:01.0,Optical,SDSS,J2000,J005643.20+000707.1,0.0713,spec,00:56:43.20,+00:07:07.1,J2000,Optical,SDSS,61.0553593182709,82.9995738662481,-83.74177121872978,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00592065+0029275,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J005920.65+002927.4,0.0625,spec,00:59:20.65,+00:29:27.4,Optical,SDSS,J2000,J005922.26+002917.6,0.0633,spec,00:59:22.26,+00:29:17.6,J2000,Optical,SDSS,26.06184792638565,31.749805247038456,-225.0446571866256,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J01012161+0023051,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010121.58+002305.4,0.0925,spec,01:01:21.58,+00:23:05.4,Optical,SDSS,J2000,J010124.56+002254.8,0.0937,spec,01:01:24.56,+00:22:54.8,J2000,Optical,SDSS,45.93866073094495,79.96396392479419,-328.24068419880564,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J01012547+0000271,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010125.46+000027.6,0.11,spec,01:01:25.46,+00:00:27.6,Optical,SDSS,J2000,J010127.81+000045.3,0.1082,spec,01:01:27.81,+00:00:45.3,J2000,Optical,SDSS,39.44429566407744,79.1113084160564,485.2579980213422,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J01062181+1434557,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010621.81+143455.8,0.0396,spec,01:06:21.81,+14:34:55.8,Optical,SDSS,J2000,J010625.69+143416.7,0.0404,spec,01:06:25.69,+14:34:16.7,J2000,Optical,SDSS,68.56747592175219,54.77693273628645,-229.99996597632088,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J01062374-0010103,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010623.75-001010.4,0.0485,spec,01:06:23.75,-00:10:10.4,Optical,SDSS,J2000,J010623.93-000841.5,0.048,spec,01:06:23.93,-00:08:41.5,J2000,Optical,SDSS,88.94099136508908,84.4811922196328,142.61864201916268,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J01082957+1426277,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010829.53+142628.0,0.0605,spec,01:08:29.53,+14:26:28.0,Optical,SDSS,J2000,J010833.69+142625.8,0.0607,spec,01:08:33.69,+14:26:25.8,J2000,Optical,SDSS,60.46855600363009,70.8561500932156,-56.383178831193206,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J01084727+0011555,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010847.30+001155.2,0.0508,spec,01:08:47.30,+00:11:55.2,Optical,SDSS,J2000,J010850.35+001229.3,0.0507,spec,01:08:50.35,+00:12:29.3,J2000,Optical,SDSS,57.06002205404548,56.614616946779,28.455864793973408,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,UGC   717,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010922.00+142032.3,0.0384,spec,01:09:22.00,+14:20:32.3,Optical,SDSS,J2000,J010928.81+142147.3,0.0375,spec,01:09:28.81,+14:21:47.3,J2000,Optical,SDSS,124.1709207372492,94.51164005774352,259.2609946713618,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J01094179-0044255,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010941.83-004425.6,0.0889,spec,01:09:41.83,-00:44:25.6,Optical,SDSS,J2000,J010942.19-004417.6,0.0887,spec,01:09:42.19,-00:44:17.6,J2000,Optical,SDSS,9.65169129687878,16.02827381395481,54.9228503816616,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J01095902+1358155,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J010959.03+135815.2,0.0564,spec,01:09:59.03,+13:58:15.2,Optical,SDSS,J2000,J011003.16+135841.2,0.0583,spec,01:10:03.16,+13:58:41.2,J2000,Optical,SDSS,65.49802814743832,73.92358871326151,-537.2861790324353,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
