AGN1 Name,ICRF_Designation,SX_defining_flag,XKa_defining_flag,K_defining_flag,Sep_SX,Sep_XKa,Sep_K
PKS 2247-131,ICRFJ224959.6-125116,0,0,0,0.0007687945482167816,,
4C 40.24 (0945+408) / J094855.34+403944.6,ICRFJ094855.3+403944,0,0,0,0.0,0.0001526454500999526,0.0001585055603471735
J100601.74+345410.5,ICRFJ100601.7+345410,0,0,0,0.1597452525828547,,
SDSS J1048+0055,ICRFJ104807.7+005543,0,0,0,0.08180437427315855,,
J105817.90+195150.9,ICRFJ105817.9+195150,0,0,0,0.03268721090446265,,
J115129.37+382552.3,ICRFJ115129.3+382552,0,0,0,0.12625135297896256,,
J124410.82+172104.5,ICRFJ124410.8+172104,0,0,0,0.07131444108997723,,
J142242.49+041439.1,ICRFJ142242.4+041439,0,0,0,0.02167908570928799,,
J160913.32+264129.0,ICRFJ160913.3+264129,0,0,0,0.0374788571689839,,
J134733.36+121724.36,ICRFJ134733.3+121724,0,0,0,0.12242799894820734,,
005205.56+003538.1,ICRFJ005205.5+003538,0,0,0,0.14360998144288228,,
074541.66+314256.6,ICRFJ074541.6+314256,0,0,0,0.1469170514573182,,
081058.99+413402.7,ICRFJ081058.9+413402,0,0,0,0.11689689544899666,,
082753.69+521758.3,ICRFJ082753.6+521758,0,0,0,0.07482129000761208,,
084047.58+131223.5 / 3C 207,ICRFJ084047.5+131223,0,0,0,5.72499842663433e-12,0.00017709430550277464,0.0002006573495926259
092703.01+390220.8,ICRFJ092703.0+390220,0,0,0,0.06922893044565197,,0.06916211831424551
102444.80+191220.3,ICRFJ102444.8+191220,1,1,0,0.1783801283455319,0.17838571782462073,0.1784419306707451
103059.09+310255.7,ICRFJ103059.0+310255,0,0,0,0.055939238474179864,,
110153.45+624150.6,ICRFJ110153.4+624150,0,0,0,0.00715173979420949,,
110715.04+162802.2,ICRFJ110715.0+162802,0,0,0,0.1162800678679482,,
120329.84+480313.5,ICRFJ120329.8+480313,0,0,0,0.18147583534218986,,
142314.18+505537.2 / SBS 1421+511 QSO,ICRFJ142314.1+505537,0,0,0,0.010971715010627643,,
145359.72+091543.3,ICRFJ145359.7+091543,0,0,0,0.18121430643470035,,
SDSSJ131739.20+411545.61,ICRFJ131739.1+411545,0,0,0,0.07064164111498437,,
J160623.57+540555.90,ICRFJ160623.5+540555,0,0,0,0.1417040876554723,,
PKS 1614+051 QSO,ICRFJ161637.5+045932,0,0,0,0.00018860164614387657,0.0006186668117130541,0.0003751978618602293
NGC 1052,ICRFJ024104.7-081520,0,0,0,0.0,,
