10 42 53.43 -00 13 00.90 2.958 P104a 289.81
10 42 43.12 -00 17 06.00 1.969 P104b 289.81
09 45 08.00 +50 40 57.   3.736 P105a 182.57
09 44 53.80 +50 43 00.   3.789 P105b 182.57
11 04 11.60 +02 46 55.   2.533 P106a 131.25
11 04 03.00 +02 47 20.   2.374 P106b 131.25
13 12 13.84 +00 00 03.00 2.680 P107a 148.43
13 12 13.29 +00 02 31.20 2.842 P107b 148.43
15 54 07.74 +01 00 10.10 2.606 P108a 239.10
15 53 59.96 +00 56 41.40 2.630 P108b 239.10
01 06 16.06 +00 15 24.00 3.043 P109a 243.02
01 06 12.22 +00 19 20.10 3.110 P109b 243.02
08 40 55.70 +37 04 37.   3.152 P111a 178.10
08 40 42.20 +37 05 52.   2.905 P111b 178.10
13 24 11.60 +03 20 50.   3.670 P112a 154.19
13 24 01.50 +03 20 20.   3.371 P112b 154.19
14 30 06.40 -01 20 20.   3.249 P113a 199.75
14 29 57.10 -01 17 57.   3.111 P113b 199.75
15 00 58.70 +61 45 06.   2.587 P114a 287.78
15 00 23.50 +61 47 29.   2.994 P114b 287.78
15 37 29.50 +58 32 24.   3.059 P115a 202.31
15 37 15.70 +58 29 33.   2.590 P115b 202.31
01 02 51.85 -27 53 03.30 1.768 P116a  81.11
01 02 57.35 -27 53 38.82 1.800 P116b  81.11
15 19 13.29 +23 46 58.72 1.834 P117a 101.25
15 19 19.40 +23 46 02.00 1.903 P117b 101.25
16 25 48.00 +26 44 32.50 2.490 P118a 146.44
16 25 48.75 +26 46 58.60 2.526 P118b 180.33
16 25 57.66 +26 44 43.40 2.605 P118c 129.86
21 42 25.90 -44 20 17.00 3.230 P119a  61.52
21 42 22.20 -44 19 30.00 3.220 P119b  61.52
21 43 07.01 -44 50 47.60 3.250 P120a  33.15
21 43 04.09 -44 50 36.00 3.060 P120b  33.15
09 45 05.93 -00 46 45.00 2.299 P121a 261.94
09 44 54.24 -00 43 30.40 2.292 P121b 261.94
09 27 43.02 +29 07 34.7  2.253 P122a  57.60
09 27 47.27 +29 07 20.7  2.292 P122b  57.60
11 51 38.05 +02 06 10.30 2.258 P123a 260.18
11 51 22.14 +02 04 26.30 2.401 P123b 260.18
14 11 08.   +62 24 52.   2.264 P124a 200.66
14 11 30.7  +62 22 48.   2.305 P124b 200.66
09 46 42.43 +33 07 54.8  2.477 P125a 194.21
09 46 56.17 +33 06 25.8  2.484 P125b 194.21
08 33 21.61 +08 12 38.3  2.518 P126a 208.57
08 33 26.82 +08 15 52.0  2.572 P126b 208.57
10 00 52.21 +45 00 11.0  2.567 P127a 199.33
10 00 54.38 +45 03 29.0  2.649 P127b 199.33
09 35 31.84 +36 33 17.6  2.858 P128a 231.84
09 35 48.51 +36 31 21.9  2.977 P128b 231.84
14 22 49.19 +42 02 46.2  3.071 P129a 106.87
14 22 39.88 +42 02 20.4  3.236 P129b 106.87
12 09 17.94 +11 38 30.4  3.105 P130a 196.41
12 09 10.71 +11 35 45.2  3.122 P130b 196.41
08 52 32.18 +26 35 26.2  3.208 P131a 170.86
08 52 37.94 +26 37 58.6  3.29  P131b 170.86
08 03 05.84 +50 32 15.3  3.244 P132a 190.91
08 03 21.24 +50 34 17.4  3.245 P132b 190.91
12 38 15.04 +44 30 26.2  3.254 P133a 232.24
12 38 31.46 +44 32 58.2  3.268 P133b 232.24
08 36 59.84 +35 10 19.4  3.319 P134a 269.47
08 37 00.83 +35 05 50.2  3.311 P134b 269.47
14 21 49.99 +46 59 38.6  3.678 P135a 201.85
14 22 09.71 +46 59 32.5  3.798 P135b 201.85
10 54 16.47 +51 27 24.6  2.367 P136a 238.50
10 54 16.51 +51 23 26.1  2.341 P136b 238.50
12 13 03.26 +12 08 39.2  3.384 P137a 137.99
12 13 10.72 +12 07 15.1  3.469 P137b 137.99
10 39 41.49 +55 09 27.8  3.709 P138a 258.46
10 39 49.28 +55 13 37.5  3.851 P138b 258.46
08 07 44.89 +23 48 25.7  3.745 P140a 225.90
08 07 35.01 +23 51 26.4  3.76  P140b 225.90
22 47 21.06 -09 15 45.7  4.13  P141a 284.94
22 47 40.17 -09 15 11.8  4.167 P141b 284.94
23 38 15.45 -10 19 17.2  2.279 P142a 281.75
23 37 56.58 -10 20 00.1  2.436 P142b 281.75
14 34 08.31 +23 22 30.0  3.97  P143a 166.07
14 33 56.26 +23 22 22.8  4.16  P143b 166.07
10 16 05.84 +40 40 05.8  2.99  P144a  68.24
10 16 01.50 +40 40 52.9  2.963 P144b  68.24
