LQAC_151+041_004/006 20.01 19.15 11.525  1.734 1.738 ------------M ----E------LM  61  61 151+041_004/151+041_006
LQAC_172+024_001/002 18.33 18.44 11.583  1.607 1.6   ----E----JKL- ------------M  33  74 172+024_001/172+024_002
LQAC_238+004_003/004 19.55 19.14 11.682  1.564 1.565 ----E-----KL- ----E-----KL-  60  77 238+004_003/238+004_004
LQAC_238+004_003/004 19.55 19.14 11.682  1.564 1.565 ----E-----KL- ----E-----KL-  59  78 238+004_003/238+004_004
LQAC_197+029_019/020  0.0  20.38 11.739  1.71  1.71  --------IJKL- ------------M 127  68 197+029_019/197+029_020
LQAC_204+000_044/045 21.31 21.28 11.778  2.309 2.294 ------G---KLM ------G---K-M 139  14 204+000_044/204+000_045
LQAC_196+031_001/002 19.02  0.0  11.910  1.291 1.289 ----E-----KLM --------IJKL-  54  97 196+031_001/196+031_002
LQAC_237+018_003/004 19.28 17.84 11.927  1.442 1.442 ------------M --------I-KL-  17  87 237+018_003/237+018_004
LQAC_149+069_009/010 19.78  0.0  12.011  2.04  2.033 ------------M --------IJKL- 111  37 149+069_009/149+069_010
LQAC_241+028_004/005  0.0  20.29 12.138  1.8   1.8   --------IJKL- ------------M 126  58 241+028_004/241+028_005
LQAC_340+000_010/011 18.76  0.0  12.873  2.1   2.1   ------------M --------IJKL-  43  29 340+000_010/340+000_011
LQAC_149+003_014/015 20.47  0.0  12.921  0.091 0.09  ----E----JKL- ------------M 129 149 149+003_014/149+003_015
LQAC_348+000_069/070 20.51 21.72 12.960  1.35  1.354 ------------M ----E-G---KL- 132  91 348+000_069/348+000_070
LQAC_013+000_025/026 21.31 20.57 13.250  1.737 1.734 ------------M ----E-G---KL- 134  64 013+000_025/013+000_026
LQAC_187+007_015/016  0.0  18.37 13.515  1.878 1.882 --------I-K-- ----E-----KLM  34  52 187+007_015/187+007_016
LQAC_237+011_009/010  0.0  19.69 13.588  2.15  2.15  --------I-KL- ------------M 102  21 237+011_009/237+011_010
LQAC_150+002_235/236  0.0   0.0  13.646  0.358 0.358 ------------M ------------M 150 127 150+002_235/150+002_236
LQAC_159+047_009/010  0.0   0.0  14.200  0.064 0.063 ------------M ------------M 151 155 159+047_009/159+047_010
LQAC_210+012_005/006 19.68 19.82 14.544  2.053 2.068 ------------M ------------M 101  35 210+012_005/210+012_006
LQAC_013-009_008/009 20.17 18.38 14.630  2.11  2.125 ------------M ----E----JKL-  35  26 013-009_008/013-009_009
LQAC_184+030_008/009 17.94 23.77 14.857  0.363 0.362 ----E----JKLM ----E-----KL-  19 126 184+030_008/184+030_009
LQAC_126+023_004/005 19.2  18.91 14.953  0.535 0.536 ----E----JKLM ----E-----KLM  48 119 126+023_004/126+023_005
LQAC_137+000_025/026 20.31 16.88 14.978  1.887 1.873 ----E-----KL- ----E----JKL-   5  53 137+000_025/137+000_026
LQAC_248+041_004/005  0.0  19.11 15.038  0.136 0.138 ------------M ----E----JKLM  58 143 248+041_004/248+041_005
LQAC_204-000_100/102  0.0  19.35 15.144  1.808 1.818 --------I-KL- -----F----KLM  72  56 204-000_100/204-000_102
LQAC_259+025_004/005 19.31 20.36 15.238  2.17  2.172 ------------M ----E-----KL-  70  19 259+025_004/259+025_005
LQAC_149+049_008/009 19.3   0.0  15.401  0.241 0.234 ----E----JKLM ------------M  68 136 149+049_008/149+049_009
LQAC_204+027_012/013 19.34  0.0  15.657  1.95  1.95  ------------M --------IJKL-  71  45 204+027_012/204+027_013
LQAC_003+000_002/003 21.64 21.14 15.938  1.633 1.641 ----E-----KLM ----E-----KLM 138  70 003+000_002/003+000_003
LQAC_335+012_002/003 20.22 19.4  15.956  2.003 1.987 ------------M ------------M  75  40 335+012_002/335+012_003
LQAC_334+021_002/003  0.0   0.0  16.196  0.0   0.02  -B-------JKL- ------------M 152 160 334+021_002/334+021_003
LQAC_144+054_009/010 17.09  0.0  16.400  0.102 0.1   ------------M --------IJKL-   6 148 144+054_009/144+054_010
LQAC_207+000_057/058 19.47 20.75 16.492  1.836 1.836 ----EFG---KL- ------G---K-M  82  55 207+000_057/207+000_058
LQAC_187+011_009/010  0.0   0.0  16.591  2.458 2.458 --------I-KL- ------------M 153   9 187+011_009/187+011_010
LQAC_223+047_010/011  0.0   0.0  16.678  0.07  0.07  ------------M ------------M 154 153 223+047_010/223+047_011
LQAC_203+026_014/015 19.65  0.0  16.820  1.556 1.556 ------------M --------IJKL-  98  79 203+026_014/203+026_015
LQAC_212+052_014/016  0.0  22.7  16.924  0.467 0.462 ------------M --C---------M 142 122 212+052_014/212+052_016
LQAC_141+029_011/012 18.71 18.59 17.458  0.697 0.705 ----E-----KLM ------------M  40 106 141+029_011/141+029_012
LQAC_193+061_009/010 18.96 19.25 17.572  2.041 2.051 ------------M ----E-----KL-  50  36 193+061_009/193+061_010
LQAC_152+004_012/013 19.59 20.28 17.685  1.51  1.508 ------------M ----E-----KL-  92  85 152+004_012/152+004_013
LQAC_126+009_015/016 19.48  0.0  17.702  0.26  0.26  ----E----JKLM ------------M  83 131 126+009_015/126+009_016
LQAC_053-007_003/004 19.96 19.59 18.191  2.112 2.102 ------------M ------------M  91  28 053-007_003/053-007_004
LQAC_355-000_068/069  0.0  18.18 18.306  1.366 1.369 --------IJKL- ----E----JKLM  26  90 355-000_068/355-000_069
LQAC_148+060_014/015 20.67 19.98 18.653  0.717 0.72  ----E-----KLM ------------M 116 105 148+060_014/148+060_015
LQAC_131+027_011/012 19.16 19.79 18.679  2.114 2.119 ------------M ----E-----KLM  63  27 131+027_011/131+027_012
