011508.48+465722.8  18.785344  46.956352 0.2221 20.187 0.051 19.515 0.019 18.846 0.025 18.339 0.030 18.500 0.054 0.054 1        4 3366  20 2 131   58 52913 1472 624
011517.37+464611.0  18.822415  46.769731 0.3269 19.410 0.040 19.284 0.076 18.977 0.015 18.843 0.018 17.956 0.033 0.033 1        4 3367  20 2 130  300 52913 1472 634
011531.41+461105.5  18.880891  46.184884 0.8532 18.745 0.027 18.218 0.028 18.179 0.012 18.182 0.015 18.088 0.030 0.030 0        4 3367  20 1 128   86 52913 1472  30
011537.25+461416.4  18.905226  46.237907 1.2142 20.015 0.089 19.715 0.093 19.298 0.044 19.100 0.099 19.538 0.101 0.101 0        4 3367  20 1 128  211 52913 1472  22
011616.31+463635.7  19.067991  46.609922 1.0079 19.258 0.023 19.054 0.010 18.838 0.014 19.039 0.016 19.069 0.050 0.050 0        4 3366  20 1 130  213 52913 1472  32
012414.07+315031.2  21.058665  31.842021 1.9715 20.267 0.047 20.223 0.027 20.382 0.033 20.069 0.031 19.697 0.068 0.068 0   524288 4800  40 1 135  298 53711 2061 598
022617.34-001102.9  36.572252  -0.184149 2.4343 20.545 0.061 20.073 0.025 19.974 0.025 19.948 0.032 19.748 0.092 0.092 0        1 3384 137 3 613  159 54082 2636  52
024932.12-080814.9  42.383845  -8.137479 1.2819 23.935 1.369 24.652 0.840 25.593 0.844 23.403 0.857 22.334 1.018 1.018 1 34603008 1045   1 3  55  117 51901  457 313
044210.36-000112.4  70.543171  -0.020113 1.8268 20.203 0.040 20.013 0.018 19.897 0.021 19.635 0.026 19.518 0.069 0.069 0        0 1752   0 3 332  396 52263  797 346
044216.45+000905.4  70.568579   0.151511 2.7176 21.492 0.138 20.397 0.024 20.228 0.028 20.184 0.033 20.091 0.135 0.135 0        0  125   7 4 546  326 52263  797 352
044220.70-001601.8  70.586264  -0.267180 2.4107 20.428 0.058 19.936 0.021 19.685 0.020 19.756 0.024 19.642 0.079 0.079 0        0  125   7 3 546  314 52263  797 316
044305.62+003902.6  70.773429   0.650745 1.8741 20.732 0.060 20.227 0.021 20.042 0.025 19.590 0.026 19.614 0.074 0.074 0        0 1752   0 5 333  139 52263  797 336
044307.68-001106.8  70.782008  -0.185232 2.5469 21.471 0.109 20.387 0.024 20.154 0.024 20.000 0.028 19.744 0.083 0.083 0        0 1752   0 3 334  324 52263  797 319
044308.96-003011.6  70.787365  -0.503238 1.1947 20.602 0.066 20.570 0.026 20.247 0.029 20.203 0.031 20.015 0.098 0.098 0        0 1752   0 2 334  354 52263  797 303
044310.09+000933.3  70.792081   0.159255 1.3965 20.363 0.055 20.249 0.026 20.128 0.026 19.986 0.030 20.293 0.173 0.173 0        0  125   7 4 547  396 52263  797 343
044326.43+005238.4  70.860138   0.877338 1.6184 20.388 0.059 20.104 0.024 20.063 0.024 19.843 0.031 19.753 0.097 0.097 0        0  125   7 6 548  266 52263  797 328
044335.52+001557.7  70.898000   0.266044 0.8881 20.110 0.043 19.550 0.020 19.221 0.019 19.136 0.019 18.903 0.050 0.050 0        0 1752   0 4 334  305 52263  797 360
044353.57-003855.5  70.973233  -0.648769 1.0849 20.001 0.047 19.899 0.028 19.549 0.020 19.572 0.022 19.560 0.081 0.081 0        0  125   7 2 549  329 52263  797 263
044355.05+010431.6  70.979401   1.075459 0.4226 20.590 0.066 19.984 0.020 19.871 0.022 19.555 0.023 19.252 0.064 0.064 0        0 1752   0 6 335  332 52263  797 321
044420.06+001348.6  71.083607   0.230167 2.3554 20.991 0.083 20.142 0.020 19.895 0.021 19.755 0.024 19.452 0.084 0.084 0        0 1752   0 4 336  404 52263  797 393
044428.89-011014.7  71.120402  -1.170751 1.6537 20.573 0.068 20.323 0.027 20.164 0.026 19.820 0.032 19.707 0.098 0.098 0        0  125   7 1 550  280 52263  797 281
044435.87-003517.8  71.149466  -0.588283 2.8978 21.302 0.118 20.245 0.020 20.065 0.026 20.028 0.028 19.957 0.103 0.103 0        0 1752   0 2 336  446 52263  797 264
044441.70+002928.0  71.173791   0.491136 2.3936 20.277 0.055 19.760 0.021 19.857 0.022 19.823 0.029 19.600 0.083 0.083 0        0  125   7 5 550  318 52263  797 388
044443.96-004834.4  71.183199  -0.809574 1.7998 20.458 0.070 20.406 0.027 20.355 0.031 20.034 0.033 20.142 0.140 0.140 0        0  125   7 2 550  379 52263  797 298
044449.90-004522.8  71.207957  -0.756336 0.9753 20.179 0.057 20.194 0.024 19.978 0.024 20.033 0.032 19.860 0.107 0.107 0        0  125   7 2 550  398 52263  797 296
044451.16-010351.8  71.213168  -1.064391 1.5039 20.596 0.072 20.251 0.025 19.896 0.021 19.622 0.028 19.524 0.082 0.082 0        0  125   7 1 550  340 52263  797 284
044455.30-003018.5  71.230424  -0.505155 1.7573 20.433 0.061 20.385 0.022 20.260 0.028 19.886 0.026 19.563 0.073 0.073 0        0 1752   0 2 336  514 52263  797 262
