Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
051139-035102,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",77.911071,-3.850553,2,19.02,2.9,C,2,similar colour p-l; QSO + other (Lemon et al. 2018); both negligible AEN; pm; and p
052131+730136,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",80.380313,73.026614,2,17.55,3.0,C,2,p-l; companion has large pm and p
052419-065727,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",81.077162,-6.957592,2,16.98,1.8,C,2,p-l; companion has large pm
052833+042744,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",82.136604,4.462234,2,16.72,1.9,C,2,p-l; companion has large pm
053733+815634,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",84.386019,81.942802,2,18.72,3.2,C,2,similar colour p-l; companion has large pm
054335-152624,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",85.894214,-15.439864,2,17.63,2.8,C,2,p-l; companion has large pm
061050-201839,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",92.710135,-20.310915,2,18.37,2.8,C,2,p-l; companion has large pm
061911-295857,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",94.796622,-29.982405,3,18.70,2.3,C,2,different colour p-l; outer component has large AEN and pm; included in the Delchambre et al. (2019) Gaia clusters catalogue
062529-285546,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",96.371981,-28.929452,2,18.25,3.0,C,2,p-l; companion has large pm
063724+434603,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",99.34909,43.767531,3,16.9,5.3,C,2,similar colour p-l (companion has large pm and p) + red inner component
065513+850519,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",103.804667,85.088737,3,17.50,4.5,B,2,similar colour p-l (companion has large pm) + red inner component (large AEN); included in the Delchambre et al. (2019) Gaia clusters catalogue
072846+420701,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",112.190784,42.116988,2,16.79,3.9,C,2,similar colour p-l; includes SDSS z=1.120 QSO; SQLS candidate; companion has large pm and p
072850+570125,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",112.206878,57.02358,2,16.03,3.5,C,2,p-l; includes z=0.426 Seyfert 1 (Henstock et al. 1997); companion has large pm and p
074242+651038,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",115.673761,65.177097,2,15.17,2.0,C,2,consistent with single extended source; Mrk 78 (Seyfert 2); no Gaia data
074555+181818,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",116.478082,18.304882,2,17.80,2.5,C,2,p-l; includes SDSS z=1.060 QSO; SQLS candidate; companion has large pm
080938+275648,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",122.407538,27.946714,2,17.09,3.1,C,2,similar colour p-l; includes SDSS z=0.406 QSO; companion has large pm and p
081130+255541,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",122.876253,25.927955,2,18.96,2.7,C,2,p-l; companion has large pm
082218+665957,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",125.574156,66.999183,2,18.61,3.0,C,2,similar colour p-l; QSO + other (Lemon et al. 2018); both negligible AEN; pm; and p
082353-085114,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",125.970487,-8.853931,2,16.88,2.2,C,2,similar colour p-l; companion has large pm and p
082442+592409,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",126.176996,59.402484,2,17.77,3.1,C,2,similar colour p-l; companion has large pm
083229+563235,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",128.119012,56.542997,3,18.76,3.0,C,2,similar colour p-l (companion has large pm) + inner red component; includes SDSS z=0.683 QSO; SQLS QSO + star
084441+334909,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",131.16938,33.819226,2,18.28,2.9,C,2,similar colour p-l; includes SDSS z=1.425 QSO; SQLS candidate; companion has large pm
084513+543422,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",131.302961,54.57264,2,18.51,1.4,C,2,similar colour p-l; includes SDSS z=1.290 QSO; SQLS QSO + star (large pm)
085055-052735,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",132.72728,-5.459747,2,19.11,2.0,C,2,similar colour p-l; companion has large pm
085838-152907,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",134.656619,-15.485172,2,17.27,2.5,C,2,similar colour p-l; companion has large pm
090852+304332,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",137.215844,30.725594,2,18.51,2.1,C,2,p-l; includes SDSS z=0.399 Seyfert 1; companion has large pm
