J1235+0608 174 2/11  461.1 176.8  599.6 178.2  320.2 199.7  531.1 191.6  84 103
J1235+0502  96 1/11  155.2 130.0  299.8  29.2  684.1 563.1  347.6 154.1  96 111
J1235+0502 186 1/11   90.8 121.3  404.8 506.8  264.4 126.6  269.9 374.1  96 111
J1250+0746  79 0/11  142.5  73.1  380.8   5.1  341.6  99.6  320.8 179.7 169 166
J1250+0746 169 0/9   249.4   5.4  393.6   4.1  342.7 145.7  322.7 149.1 169 166
J1307+1243  10 0/13  286.0 156.2  886.2 326.9  350.0 133.7  744.7 385.3  10  83
J1307+1243 100 1/11  283.7   7.0  810.7  16.2  408.8  37.3  725.9 229.9  10  83
J1315+2134  74 3/11  541.6  11.2  735.0   4.5  639.8  21.1  737.0  64.5 164  75
J1315+2134 164 2/9   456.6  83.2  692.7 126.2  487.9  30.4  360.5   3.6 164  75
J1321-0014  69 2/11  247.4 192.5  637.2 368.5  186.6  88.1  637.2 368.5  69 157
J1321-0014 159 0/9   208.6 103.3  297.1 297.7  260.1 172.2   61.4  27.7  69 157
J1328+2752  39 1/13  250.7   5.9  446.7  29.3  251.0 110.7  624.4 307.5  39  39
J1328+2752 129 3/13  255.6  92.8  212.8  71.9  200.9  62.9  438.7 187.8  39  39
J1337+0353  91 11/15 319.1   1.4  344.0  74.0  257.6  62.8  540.1 175.5  91  91
J1337+0353 181 28/32 313.7  62.2  646.1  77.4  218.4  85.2  356.7 163.2  91  91
J1350+2311  83 1/5   572.9 150.9  551.0 163.7  548.0 232.5  495.7 232.7 173  94
J1350+2311 173 4/9   575.4   8.7  710.0   3.1  630.9 183.4  768.8  41.6 173  94
J1352+0525 162 20/27 327.0   1.0  583.9  11.6  542.1 121.5  200.5   7.1 162 164
J1352+0525 252 24/29 210.6  29.6  770.9 307.5  852.1 302.0  598.4 308.4 162 164
J1420+4959  79 0/11   70.1  36.6  400.9 209.2  514.5 169.2  288.8 159.6 169 167
J1420+4959 169 2/15  145.0   2.8  437.9   8.5  494.5 168.9  285.6  10.0 169 167
J1431+4358  87 3/11  359.1 136.2  348.3 144.8  578.5 283.2  354.6 167.1  87  59
J1431+4358 177 0/11  354.4 178.2  114.8  31.8  179.1 111.2  377.6 173.0  87  59
J1434+1405   6 17/24  79.6   6.2  421.7 140.8  458.3 139.9  328.1  85.4   6  20
J1434+1405  96 11/16 273.6  66.3  281.9   3.3  240.4 100.5  688.3  97.3   6  20
J1448+1825   0 3/7   229.4   1.3  500.6   1.5  453.1 111.7  451.7  43.1 170 176
J1448+1825  90 4/5   135.3   2.9  474.4   2.2  511.7 286.2  437.1  97.4 170 176
J1452+5110  79 18/24 279.4   2.9  258.8  25.6  557.1  76.2  336.0  45.2  79  34
J1452+5110 169 25/35 294.3  80.1  570.3 241.2  153.8 114.1  263.1  96.3  79  34
J1516+0517  81 0/13  271.8  10.5  571.7 135.2  360.5 108.3  279.7  91.2  81  95
J1516+0517 171 0/5   216.5   9.1  651.1  36.1  454.5 188.4  436.3 146.9  81  95
J1524+2743  12 2/17  506.3 216.8 1036.2 342.6 1202.0 443.2  319.7 124.5 102  22
J1524+2743 102 1/13  482.7 138.8 1039.0  65.0 1146.7 435.6  627.3 269.8 102  22
J1526+4140  38 2/13   85.6   0.8  426.9   4.0  522.0  31.1  234.8   1.5  38  73
J1526+4140 128 1/13  311.8   1.3  457.8   4.6  174.0  82.4  496.6  23.8  38  73
J1532+4532  33 2/11  215.4  33.4  552.3 200.0  404.8 145.9  547.4 345.1 123  67
J1532+4532 123 0/13  328.5 113.2  448.0 193.5  402.6 167.5  228.5 126.9 123  67
J1532+2601  56 1/11  303.3 234.4  911.7 432.9  811.0 302.4  407.8 263.7  56  61
J1532+2601 146 2/9   646.6 221.2  780.4 276.0  757.1 294.0  228.8 130.8  56  61
J1533+5750  57 22/31 268.5   2.0  359.8  68.0  558.0 220.6  422.1 139.8  57  57
J1533+5750 147 17/29  77.7   0.6  342.8 100.1  818.3 125.4  473.2 150.8  57  57
J1552+0433 113 16/24 114.3   4.9  414.2 111.8  441.3  75.9  429.4  88.2 113  31
J1552+0433 203 16/21 348.5   3.0  550.1  43.9  410.0 228.3  762.8 150.8 113  31
J1556+0948  46 3/5   144.2  87.8  739.6   9.3  535.9 146.4  739.4 105.1 160 135
J1556+0948 174 2/7   249.9  91.1  695.8   2.9  559.0  16.5  269.4   9.3 160 135
J1605+1522   9 4/7   256.9  87.8  680.7 168.3  623.9 174.4  664.2 215.3 171  19
J1605+1522  81 6/11  293.3  67.7  692.5  49.6  343.5 171.8  360.9 189.4 171  19
J1606+3427  17 20/25 540.3 135.3  500.3  22.0  432.5 163.5  650.7 389.4  17  17
J1606+3427 107 26/33 311.8  91.7  497.6 128.1  315.7  92.3  436.8 161.7  17  17
J1629+2408  30 4/5   278.2   3.1  478.2   7.6  627.6 329.5  247.3 100.6 119 116
J1629+2408 119 5/7   229.7   1.4  480.0   2.6  221.4  89.7  349.9 145.8 119 116
J1630+1649  30 17/22 270.7   0.4  565.5   5.1  618.6  10.1  573.3  10.2  30  45
J1630+1649 120 27/31 296.4   1.6  678.5  22.7  394.9  63.6  748.5 207.3  30  45
J1633+2627  65 3/5   326.5   4.8  385.6   6.6  298.9 120.3  376.4 165.0 138 114
J1633+2627 138 2/3   257.9 103.1  532.4  18.5  420.8  46.6  515.2 212.1 138 114
J1652+3107  73 28/41 253.7  46.0  565.4 201.5  476.1 143.0  295.5 119.8  73 163
J1652+3107 163 1/9    75.4   6.6  547.1  47.9  183.3  95.7  253.9 142.5  73 163
J1720+3106 152 15/22 292.5   0.8  492.7  82.6  239.2 102.4  428.4  71.5 153  37
J1720+3106 242 20/27 413.1 115.4  281.9  50.1  472.2 189.1  885.6 305.4 153  37
J2254-0051  35 2/11  234.5  52.3  780.8 485.1  806.9  38.7  866.8 449.6 115 117
J2254-0051  55 4/11  290.9  40.4  853.8  54.5 1110.0 351.3 1050.1 351.4 115 117
J2304-0933  29 1/13  105.9  53.1  503.7  12.8  589.7 101.0  231.6   3.7  61  41
J2304-0933  61 0/13  331.1   3.9  593.9  11.9  513.9  26.0  613.1  55.8  61  41
J2310-0900  28 4/13  326.5   4.8  636.0   7.1  374.6  11.3  389.6  66.2  66 147
J2310-0900  52 0/13  257.9 103.1  297.9   1.4  265.5  37.0  453.5 144.1  66 147
