|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3681   366 55243 0.6265  1.869      -9.75  959.8     3.845     -114.3  174.9  2.479      293.7  335.0    0.0    0.0    0.1  904.4 1468.4   749.4  1786.3  2557.0   -0.0317716 3.41206    0 
  3681   923 55243 0.4498  3.372      76.15  633.7      5.21     -105.3  234.4  1.576      174.6  29.48    0.0   -0.0    0.1  755.5 1341.0   580.1  1295.0  1786.5     0.113406 3.07964    0 
  3682   337 55244 0.3959  4.488     -27.35  422.0     43.33      14.21  189.3    0.0        0.0    0.1    0.0    0.0    0.1  469.8  678.4   288.6   572.4   777.9   -0.0281784 2.69543    0 
  3682   695 55244 0.5674  3.255     -19.31  422.9     19.09     -128.7  95.24  18.82      102.8  129.2    0.0    0.0    0.1  476.0  620.7   285.2   530.7   754.7    0.0190539 2.64621    0 
  3682   809 55244 0.5945   8.34     -177.9  89.19     8.685      79.65  211.6    0.0       -0.0    0.1    0.0   -0.0    0.1  525.7  710.9   324.9   559.8   692.2     0.196966  2.1305    0 
  3683   131 55245 0.4938 0.7707     -134.5  583.7     8.102     -55.36  228.7    0.0       -0.0    0.1    0.0   -0.0    0.1  567.5  821.2   356.2   718.3  1006.0   -0.0526441 2.82426    0 
  3683   707 55245 0.6001  3.776      -93.0  413.2      3.98      203.8  106.1  4.703     -62.08  146.0    0.0   -0.0    0.1  643.2  959.2   411.9   831.1  1134.8    -0.133733 2.75504    0 
  3686   181 55268 0.4527  1.828     -79.01  639.8     18.95      128.6  141.0  14.45     -103.2  165.9    0.0    0.0    0.1  497.1  698.5   315.3   630.4   925.0    -0.145557 2.93371    0 
  3687   119 55269 0.5314  20.39       3.68  158.9    0.3993    -1090.0  621.8    0.0        0.0    0.1    0.0    0.0    0.1  375.5  532.2   234.1   479.4  1020.0    -0.467961 4.35711    0 
  3687   744 55269 0.5291  8.745      63.61  385.3     57.82     -59.48  173.8  2.174     -478.1  688.6    0.0   -0.0    0.1  449.3  664.2  306.13   664.4  1056.9   -0.0829596 3.45245    0 
