J142943.65+151354.6 5466 606 56033 0.5903 0.5906  382  483 -234  159 -192  240 106 110
J143442.59+370451.8 5173 407 56046 0.4306 0.4303  155  247 -244   96 -218  104  59 103
J143640.37+195145.2 5899 762 56038 0.5868 0.5868  307  222 -150  282 -150  282  25  16
J143821.98+402419.6 5171 921 56038 0.4422 0.4425  226  199 -183  142 -213  107  54  77
J144230.64+375232.5 5173 153 56046 0.5439 0.5435  256  199 -234  103 -183   64 165 227
J144514.77+353828.4 4718 273 56014 0.4762 0.4757  609  626 -732   90 -743   36  67 101
J144629.96+351206.4 4718 227 56014 0.5241 0.5240  151  192 -166  115 -155  110 107 229
J145305.18+210831.6 5905 187 56065 0.5735 0.5736  162  114 -120  123  -97  109  43  40
J145627.37+070808.5 4857 805 55711 0.6638 0.6644  329  452 -335  138 -333   89  16  35
J150135.67+174511.3 5479 887 56016 0.4300 0.4301  340  294 -147  349 -135  281  83  23
J151211.13+382753.3 4980 563 56048 0.4705 0.4710  172  236 -130  271 -120  202  84  50
J151751.78+252353.4 3960 476 55663 0.0713 0.0713  353  251 -254  181 -192  138   7  11
J151924.23+192219.4 3950 367 55680 0.6196 0.6180  347  446 -227  268 -218  350  40  25
J151953.26+013954.1 4011 267 55635 0.4911 0.4915  392  103 -143  281  -83  238  65  16
J152809.27+301650.5 3879 981 55244 0.4418 0.4411  271  325 -570   33 -541    1  56  64
J154020.88+143831.4 4890 711 55741 0.6040 0.6037*  90   98  -45  226   -8  261  65  24
J154433.06+201012.4 3937 841 55352 0.4828 0.4825  111  125 -129  117 -124  116 181 216
J154733.42+301528.5 4726 701 55712 0.5405 0.5398  242  242 -141  132 -120  134 192 206
J155015.64+410210.1 6051 301 56093 0.5709 0.5711  416  271 -304  159 -259  115  75  86
J155924.72+243813.0 3940 297 55327 0.5415 0.5414  304  157 -293  134 -322  109 119  87
J160913.32+264129.0 4724 939 55742 0.4739 0.4741   30  577 -151   51  -44  207  12  55
J160936.43+254459.6 4724  52 55742 0.0412 0.0415  180  252 -161  111 -124  129  19  22
J161034.75+272550.4 5008 379 55744 0.5824 0.5827  356  206 -145  244 -192  144 159  68
J161321.08+345725.3 4964 161 55749 0.4159 0.4156  272  388 -197  173 -133  142  47  54
J161456.97+130725.9 4070 234 55681 0.5540 0.5541  276  198 -191  198 -203  172 259 215
J161616.89+404446.5 5189 747 56074 0.4552 0.4547  171  193 -404   55 -382   56 104 244
J161719.24+192409.4 4057 289 55357 0.5926 0.5929  338  180 -152  127 -145  138  61  30
J162603.22+194909.6 4060 801 55359 0.4037 0.4042  249  184 -214  185 -218  155 124  98
J162803.98+274139.3 5005 379 55751 0.4487 0.4483  352  318 -233  211 -232  199  86  54
J163657.90+431817.2 6036 833 56093 0.4742 0.4741  271  316 -212  120  -86   85  29  49
J165547.36+232930.5 4181  91 55685 0.3934 0.3938  240  172 -255  110 -256   99  41  62
J165559.57+374118.9 5198 867 55823 0.5523 0.5526  261  252 -203  115 -141   81  49  72
J165816.18+221030.2 4178 233 55653 0.4873 0.4874  200  267 -124  225  -88  256  54  51
J170545.93+332424.5 4993 695 55738 0.5779 0.5775  128  217 -264   16 -252   76  63  57
J170847.09+444435.0 6062 753 56091 0.4077 0.4075  453  213 -194  281 -152  230  95  45
J171526.35+343208.3 4994 357 55739 0.4838 0.4835  109  156 -241  176 -236  166  62 123
J171615.02+254403.9 5016 529 55709 0.6081 0.6073  419  189   -5  514  -72  358 821 188
J172840.04+321952.7 5002 775 55710 0.4300 0.4301  300  330 -172  160 -181  167 189 178
J211106.47+073011.2 4079 199 55363 0.6413 0.6413  716  390 -174  141 -229  147 145  84
J214755.92+062125.6 4092 103 55477 0.4630 0.4623  610  287  -27  596    5  564  97  72
J215755.79+074504.2 4097 885 55506 0.5164 0.5163  277  445 -146  193 -283  131  61 139
J215922.82+101252.6 4095 971 55497 0.4169 0.4173  187  177 -176  118 -140  124  61  68
J220620.14+051449.3 4317 878 55480 0.1540 0.1543  214  207 -189  140 -198  151  59  50
J220832.61+123726.7 5064 759 55864 0.4924 0.4923  322   85 -159  175 -215   83  72  28
J221911.78+004348.6 4201 685 55443 0.5115 0.5117* 267  219 -290   64 -265   57  40 116
J221953.56+020057.4 4322 480 55503 0.0976 0.0978  634  223 -663    4 -663    4  22  22
J223336.42+033234.7 4291 364 55525 0.1064 0.1068  119  106 -155  262 -171  239  27  13
J224211.40+193810.9 5026 653 55855 0.4149 0.4149  313  288 -243  127 -252   79 107 110
J225833.07+050708.4 4293 943 55509 0.6336 0.6339  160   97 -194  184 -165  169  37  91
J230041.10+030631.0 4289 395 55856 0.4422 0.4420  394  408  -75  442  -55  437 475 299
J230551.73+063434.2 4414 677 55882 0.4305 0.4308  191  514 -227   69 -228   85  58 146
J230816.41+022853.3 4288 775 55501 0.6369 0.6373  178  157 -230  165 -253   94  50  62
J230900.96+035742.0 4289  39 55856 0.4860 0.4859  117  115 -182  171 -174  172 225 228
J233807.00+022714.2 4282 853 55507 0.0843 0.0842  231  322 -358   83 -347   75  28 102
J235003.45+004203.1 4215 565 55471 0.6145 0.6142  182  128 -246   72 -221   94  22  41
