J152433.36+274311.6 1846  22 54173  0.0681 139 443 413 -544 -21    0    0
J153204.78+475024.9 1167 299 52738  0.1986 213 270 251 -270 135 -268  135
J153238.91+260124.5 2163 528 53823  0.0978 195 419 149 -190 243 -114  278
J153315.29+575001.9  615 148 52347  0.0672 162 202 249 -163 166 -126  122
J153944.13+343503.9 1402 238 52872  0.5514   0 146 181 -222 162 -213  150
J155009.59+080838.8 1726 254 53137  0.2320 241 270 233 -243 157 -195  196
J155205.93+043317.5 2951 433 54592  0.0803 170 180 223 -221  75 -146   79
J155429.58+090902.6 1726 555 53137  0.1714 166 232 249 -212 161 -134  118
J155619.30+094855.6 2520  27 54584  0.0678 215 357 207 -206 204 -129  197
J160027.78+083743.0 1728 451 53228  0.2269 213 210 323 -271 149 -274  147
J160436.21+500958.1  620 119 52375  0.1464 199 151 161 -175 192 -158  174
J160631.37+273643.0 1392 610 52822  0.1584 114 402 461 -194 125 -180  135
J161006.42+210735.1 2205 489 53793  0.1373 166 200 230 -239  96 -199  108
J162345.20+080851.1 2532 313 54589  0.1992 165 237 258 -451  55 -240   -3
J163056.75+164957.2 2207 227 53558  0.0341 107 115 165 -168 127 -163  123
J163419.16+464801.8  627 452 52144  0.2158 151 215 200 -219 154 -201  187
J163732.37+352321.2 1339 568 52767  0.1228 129 265 166 -160 183 -122  226
J164713.43+383139.9  818 606 52395  0.1636 173 207 212 -175 169 -125  174
J165206.15+310707.6 1343 497 52790  0.0750 135 183 208 -141 169 -146  148
J171544.05+600835.7  353 568 51703  0.1569 131 221 200 -239 108 -233  105
J172049.25+310646.4 2974 260 54592  0.0951 232 254 348  -36 383  -39  400
J224745.94+010517.4  675 563 52590  0.5293   0 228 244 -235  89 -260   74
J225252.94+002928.4  379 481 51789  0.1525 190 229 303 -182 255 -199  185
J225420.99-005134.1  379 131 51789  0.0795 178 218 169 -192 228 -136  176
J225510.12-081234.4  724 405 52254  0.1494 148 318 340 -367 172 -316  165
J230442.82-093345.3  725 120 52258  0.0319 134 216 295 -136 183  -93  207
J231051.95-090011.9  726 465 52226  0.0944 187 256 194 -121 206 -126  198
J233313.17+004911.8  384 411 51821  0.1699  92 293 366 -480 -36 -472   62
J235256.62+001155.2  386 516 51788  0.1668 206 207 166 -141 169 -129  147
